DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists
"Wed, Oct 19",vs Houston ,W117-107  ,1-0,Collins  24,Okongwu  9,Young  13
"Fri, Oct 21",vs Orlando ,W108-98  ,2-0,Young  25,Collins  13,Young  13
"Sun, Oct 23",vs Charlotte ,L126-109  ,2-1,Young  28,Capela  10,Young  9
"Wed, Oct 26",@ Detroit ,W118-113  ,3-1,Young  35,Collins  11,Murray  8
"Fri, Oct 28",@ Detroit ,W136-112  ,4-1,Young  36,Capela  11,Young  12
"Sat, Oct 29",@ Milwaukee ,L123-115  ,4-2,Young  42,Capela  10,Murray  6
"Mon, Oct 31",@ Toronto ,L139-109  ,4-3,Murray  20,Collins  12,Young  10
"Wed, Nov 2",@ New York ,W112-99  ,5-3,Murray  36,Collins  13,Murray  9
"Sat, Nov 5",vs New Orleans ,W124-121 OT ,6-3,Young  34,Capela  19,Murray  11
"Mon, Nov 7",vs Milwaukee ,W117-98  ,7-3,Murray  25,Capela  12,Murray  11
"Wed, Nov 9",vs Utah ,L125-119  ,7-4,Murray  26,Capela  19,Young  9
"Thu, Nov 10",vs Philadelphia ,W104-95  ,8-4,Young  26,Capela  20,Murray  8
"Sat, Nov 12",@ Philadelphia ,L121-109  ,8-5,Young  27,Capela  15,Young  11
"Mon, Nov 14",@ Milwaukee ,W121-106  ,9-5,Hunter  24,Capela  10,Young  9
"Wed, Nov 16",vs Boston ,L126-101  ,9-6,Young  27,Okongwu  9,Young  9
"Sat, Nov 19",vs Toronto ,W124-122 OT ,10-6,Young  33,Capela  14,Young  12
"Mon, Nov 21",@ Cleveland ,L114-102  ,10-7,Young  25,Capela  12,Young  10
"Wed, Nov 23",vs Sacramento ,W115-106  ,11-7,Young  35,Capela  14,Young  7
"Fri, Nov 25",@ Houston ,L128-122  ,11-8,Young  44,Okongwu  11,Young  5
"Sun, Nov 27",vs Miami ,L106-98  ,11-9,Collins  23,Collins  14,Young  14
"Mon, Nov 28",@ Philadelphia ,L104-101  ,11-10,Hunter  18,Capela  16,Young  10
"Wed, Nov 30",@ Orlando ,W125-108  ,12-10,Young  30,Capela  12,Young  14
"Fri, Dec 2",vs Denver ,W117-109  ,13-10,Murray  34,Capela  11,Murray  8
"Mon, Dec 5",vs Oklahoma City ,L121-114  ,13-11,Murray  24,Capela  16,Young  10
"Wed, Dec 7",@ New York ,L113-89  ,13-12,Young  19,Capela  12,Young  6
"Fri, Dec 9",@ Brooklyn ,L120-116  ,13-13,Young  33,Capela  11,Young  9
"Sun, Dec 11",vs Chicago ,W123-122 OT ,14-13,Bogdanovic  28,Capela  14,Young  14
"Mon, Dec 12",@ Memphis ,L128-103  ,14-14,Hunter  19,Okongwu  10,Holiday  6
"Wed, Dec 14",@ Orlando ,L135-124  ,14-15,Hunter  25,Okongwu  11,Young  16
"Fri, Dec 16",@ Charlotte ,W125-106  ,15-15,Young  31,Bogdanovic  9,Young  9
"Mon, Dec 19",vs Orlando ,W126-125  ,16-15,Young  37,Okongwu  8,Young  13
"Wed, Dec 21",vs Chicago ,L110-108  ,16-16,Young  34,Okongwu  11,Murray  10
"Fri, Dec 23",vs Detroit ,W130-105  ,17-16,Murray  26,Collins  12,Young  13
"Tue, Dec 27",@ Indiana ,L129-114  ,17-17,Collins  26,Collins  10,Young  10
"Wed, Dec 28",vs Brooklyn ,L108-107  ,17-18,Murray  24,Okongwu  13,Murray  8
"Fri, Dec 30",vs Los Angeles ,L130-121  ,17-19,Young  29,Collins  9,Murray  9
"Mon, Jan 2",@ Golden State ,L143-141 2OT ,17-20,Young  30,Collins  13,Young  14
"Wed, Jan 4",@ Sacramento ,W120-117  ,18-20,Collins  22,Collins  12,Young  6
"Fri, Jan 6",@ Los Angeles ,L130-114  ,18-21,Young  32,Collins  8,Young  9
"Sun, Jan 8",@ LA ,W112-108  ,19-21,Young  30,Collins  9,Young  8
"Wed, Jan 11",vs Milwaukee ,L114-105  ,19-22,Bogdanovic  22,Hunter  9,Bogdanovic  5
"Fri, Jan 13",@ Indiana ,W113-111  ,20-22,Young  26,Okongwu  20,Young  11
"Sat, Jan 14",@ Toronto ,W114-103  ,21-22,Young  29,Okongwu  13,Young  9
"Mon, Jan 16",vs Miami ,W121-113  ,22-22,Murray  28,Capela  6,Young  8
"Wed, Jan 18",@ Dallas ,W130-122  ,23-22,Murray  30,Murray  7,Young  12
"Fri, Jan 20",vs New York ,W139-124  ,24-22,Murray  29,Collins  9,Murray  12
"Sat, Jan 21",vs Charlotte ,L122-118  ,24-23,Murray  26,Capela  9,Young  12
"Mon, Jan 23",@ Chicago ,L111-100  ,24-24,Young  21,Capela  12,Young  13
"Wed, Jan 25",@ Oklahoma City ,W137-132  ,25-24,Young  33,Collins  10,Young  11
"Sat, Jan 28",vs LA ,L120-113  ,25-25,Young  31,Capela  13,Young  10
"Mon, Jan 30",@ Portland ,L129-125  ,25-26,Murray  40,Capela  15,Murray  7
"Wed, Feb 1",@ Phoenix ,W132-100  ,26-26,Murray  21,Johnson  11,Young  12
"Fri, Feb 3",@ Utah ,W115-108  ,27-26,Young  27,Capela  13,Murray  8
"Sat, Feb 4",@ Denver ,L128-108  ,27-27,Murray  28,Capela  11,Murray  10
"Tue, Feb 7",@ New Orleans ,L116-107  ,27-28,Bogdanovic  22,Capela  8,Young  16
"Thu, Feb 9",vs Phoenix ,W116-107  ,28-28,Young  36,Capela  17,Young  12
"Sat, Feb 11",vs San Antonio ,W125-106  ,29-28,Hunter  24,Capela  12,Young  17
"Mon, Feb 13",@ Charlotte ,L144-138  ,29-29,Young  25,Capela  7,Young  14
"Wed, Feb 15",vs New York ,L122-101  ,29-30,Hunter  20,Capela  8,Young  11
"Fri, Feb 24",vs Cleveland ,W136-119  ,30-30,Young  34,Okongwu  11,Young  9
"Sun, Feb 26",vs Brooklyn ,W129-127  ,31-30,Young  34,Capela  12,Young  8
"Tue, Feb 28",vs Washington ,L119-116  ,31-31,Young  31,Capela  15,Young  7
"Fri, Mar 3",vs Portland ,W129-111  ,32-31,Murray  41,Capela  12,Young  11
"Sat, Mar 4",@ Miami ,L117-109  ,32-32,Bey  22,Capela  13,Young  10
"Mon, Mar 6",@ Miami ,L130-128  ,32-33,Young  25,Capela  10,Murray  8
"Wed, Mar 8",@ Washington ,W122-120  ,33-33,Young  28,Bogdanovic  8,Young  10
"Fri, Mar 10",@ Washington ,W114-107  ,34-33,Young  28,Capela  10,Young  9
"Sat, Mar 11",vs Boston ,L134-125  ,34-34,Young  35,Capela  9,Young  13
"Mon, Mar 13",vs Minnesota ,L136-115  ,34-35,Young  41,Okongwu  14,Young  7
"Fri, Mar 17",vs Golden State ,W127-119  ,35-35,Young  25,Capela  9,Young  12
"Sun, Mar 19",@ San Antonio ,L126-118  ,35-36,Murray  22,Capela  12,Murray  8
"Tue, Mar 21",vs Detroit ,W129-107  ,36-36,Young  30,Capela  16,Young  12
"Wed, Mar 22",@ Minnesota ,L125-124  ,36-37,Young  29,Capela  8,Young  8
"Sat, Mar 25",vs Indiana ,W143-130  ,37-37,Collins  21,Capela  17,Murray  12
"Sun, Mar 26",vs Memphis ,L123-119  ,37-38,Young  28,Capela  16,Young  10
"Tue, Mar 28",vs Cleveland ,W120-118  ,38-38,Murray  29,Capela  10,Young  10
"Fri, Mar 31",@ Brooklyn ,L124-107  ,38-39,Murray  21,Johnson  8,Young  6
"Sun, Apr 2",vs Dallas ,W132-130 OT ,39-39,Murray  25,Capela  11,Young  12
"Tue, Apr 4",@ Chicago ,W123-105  ,40-39,Bogdanovic  26,Capela  14,Murray  9
"Wed, Apr 5",vs Washington ,W134-116  ,41-39,Young  25,Johnson  8,Young  16
"Fri, Apr 7",vs Philadelphia ,L136-131 OT ,41-40,Young  27,Collins  8,Young  20
"Sun, Apr 9",@ Boston ,L120-114  ,41-41,Fernando  19,Fernando  10,Holiday  6
