DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists
"Wed, Oct 19",vs New Orleans ,L130-108  ,0-1,Durant  32,Claxton  10,Irving  5
"Fri, Oct 21",vs Toronto ,W109-105  ,1-1,Irving  30,Claxton  11,Simmons  8
"Mon, Oct 24",@ Memphis ,L134-124  ,1-2,Irving  37,Irving  8,Simmons  8
"Wed, Oct 26",@ Milwaukee ,L110-99  ,1-3,Durant  33,Irving  9,Simmons  9
"Thu, Oct 27",vs Dallas ,L129-125 OT ,1-4,Irving  39,Simmons  8,Durant  5
"Sat, Oct 29",vs Indiana ,L125-116  ,1-5,Irving  35,Claxton  9,Simmons  9
"Mon, Oct 31",vs Indiana ,W116-109  ,2-5,Durant  36,Durant  9,Durant  7
"Tue, Nov 1",vs Chicago ,L108-99  ,2-6,Durant  32,Claxton  10,Irving  7
"Fri, Nov 4",@ Washington ,W128-86  ,3-6,Durant  28,Durant  9,Durant  11
"Sat, Nov 5",@ Charlotte ,W98-94  ,4-6,Durant  27,Claxton  9,O'Neale  5
"Mon, Nov 7",@ Dallas ,L96-94  ,4-7,Durant  26,Claxton  14,O'Neale  8
"Wed, Nov 9",vs New York ,W112-85  ,5-7,Durant  29,Durant  12,Durant  12
"Sat, Nov 12",@ LA ,W110-95  ,6-7,Durant  27,Claxton  14,Sumner  4
"Sun, Nov 13",@ Los Angeles ,L116-103  ,6-8,Durant  31,Durant  9,Durant  7
"Tue, Nov 15",@ Sacramento ,L153-121  ,6-9,Durant  27,Simmons  5,Durant  6
"Thu, Nov 17",@ Portland ,W109-107  ,7-9,Durant  35,Simmons  13,O'Neale  11
"Sun, Nov 20",vs Memphis ,W127-115  ,8-9,Durant  26,Simmons  8,O'Neale  8
"Tue, Nov 22",@ Philadelphia ,L115-106  ,8-10,Irving  23,Simmons  7,Simmons  11
"Wed, Nov 23",@ Toronto ,W112-98  ,9-10,Irving  29,Claxton  12,O'Neale  7
"Fri, Nov 25",@ Indiana ,L128-117  ,9-11,Durant  36,Claxton  11,Durant  8
"Sun, Nov 27",vs Portland ,W111-97  ,10-11,Durant  31,Simmons  12,Simmons  8
"Mon, Nov 28",vs Orlando ,W109-102  ,11-11,Durant  45,Claxton  13,Durant  5
"Wed, Nov 30",vs Washington ,W113-107  ,12-11,Durant  39,O'Neale  8,O'Neale  7
"Fri, Dec 2",vs Toronto ,W114-105  ,13-11,Irving  27,Durant  9,Durant  7
"Sun, Dec 4",vs Boston ,L103-92  ,13-12,Durant  31,Claxton  14,Durant  5
"Wed, Dec 7",vs Charlotte ,W122-116  ,14-12,Irving  33,Durant  9,Irving  9
"Fri, Dec 9",vs Atlanta ,W120-116  ,15-12,Durant  34,Irving  11,Simmons  7
"Sat, Dec 10",@ Indiana ,W136-133  ,16-12,Thomas  33,Sharpe  12,Mills  6
"Mon, Dec 12",@ Washington ,W112-100  ,17-12,Durant  30,Durant  9,Durant  6
"Fri, Dec 16",@ Toronto ,W119-116  ,18-12,Irving  32,Claxton  10,Irving  5
"Sun, Dec 18",@ Detroit ,W124-121  ,19-12,Durant  43,Simmons  8,Simmons  8
"Wed, Dec 21",vs Golden State ,W143-113  ,20-12,Durant  23,Durant  7,Simmons  8
"Fri, Dec 23",vs Milwaukee ,W118-100  ,21-12,Durant  24,Simmons  11,Simmons  8
"Mon, Dec 26",@ Cleveland ,W125-117  ,22-12,Durant  32,Durant  9,Simmons  8
"Wed, Dec 28",@ Atlanta ,W108-107  ,23-12,Irving  28,Durant  16,Irving  8
"Sat, Dec 31",@ Charlotte ,W123-106  ,24-12,Irving  28,Warren  7,O'Neale  6
