DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists
"Tue, Oct 18",vs Philadelphia ,W126-117  ,1-0,Tatum  35,Tatum  12,Smart  7
"Fri, Oct 21",@ Miami ,W111-104  ,2-0,Tatum  29,Williams  7,Tatum  4
"Sat, Oct 22",@ Orlando ,W126-120  ,3-0,Tatum  40,Brown  9,Smart  8
"Mon, Oct 24",@ Chicago ,L120-102  ,3-1,Tatum  26,Tatum  8,Smart  6
"Fri, Oct 28",vs Cleveland ,L132-123 OT ,3-2,Brown  32,Brown  8,Smart  7
"Sun, Oct 30",vs Washington ,W112-94  ,4-2,Brown  24,Brown  10,Smart  6
"Wed, Nov 2",@ Cleveland ,L114-113 OT ,4-3,Brown  30,Tatum  12,Tatum  6
"Fri, Nov 4",vs Chicago ,W123-119  ,5-3,Tatum  36,Tatum  12,Tatum  6
"Sat, Nov 5",@ New York ,W133-118  ,6-3,Brown  30,Vonleh  7,Smart  11
"Mon, Nov 7",@ Memphis ,W109-106  ,7-3,Tatum  39,Brogdon  10,Smart  12
"Wed, Nov 9",vs Detroit ,W128-112  ,8-3,Tatum  31,White  8,Smart  11
"Fri, Nov 11",vs Denver ,W131-112  ,9-3,Tatum  34,Tatum  8,Brown  8
"Sat, Nov 12",@ Detroit ,W117-108  ,10-3,Tatum  43,Tatum  10,Smart  10
"Mon, Nov 14",vs Oklahoma City ,W126-122  ,11-3,Tatum  27,Horford  11,Smart  8
"Wed, Nov 16",@ Atlanta ,W126-101  ,12-3,Brown  22,Horford  11,White  10
"Fri, Nov 18",@ New Orleans ,W117-109  ,13-3,Brown  27,Brown  10,Tatum  10
"Mon, Nov 21",@ Chicago ,L121-107  ,13-4,Tatum  28,Tatum  11,Smart  8
"Wed, Nov 23",vs Dallas ,W125-112  ,14-4,Tatum  37,Tatum  13,Smart  9
"Fri, Nov 25",vs Sacramento ,W122-104  ,15-4,Tatum  30,Tatum  8,Horford  5
"Sun, Nov 27",vs Washington ,W130-121  ,16-4,Brown  36,Williams  7,Smart  7
"Mon, Nov 28",vs Charlotte ,W140-105  ,17-4,Tatum  35,Kornet  8,Smart  15
"Wed, Nov 30",vs Miami ,W134-121  ,18-4,Tatum  49,Tatum  11,Smart  9
"Fri, Dec 2",vs Miami ,L120-116 OT ,18-5,Brown  37,Brown  14,Smart  9
"Sun, Dec 4",@ Brooklyn ,W103-92  ,19-5,Brown  34,Tatum  11,Brogdon  8
"Mon, Dec 5",@ Toronto ,W116-110  ,20-5,Tatum  31,Tatum  12,Brown  8
"Wed, Dec 7",@ Phoenix ,W125-98  ,21-5,Brown  25,Griffin  9,White  6
"Sat, Dec 10",@ Golden State ,L123-107  ,21-6,Brown  31,Brown  9,Smart  5
"Mon, Dec 12",@ LA ,L113-93  ,21-7,Brown  21,Tatum  11,Brogdon  6
"Tue, Dec 13",@ Los Angeles ,W122-118 OT ,22-7,Tatum  44,Brown  15,Tatum  6
"Fri, Dec 16",vs Orlando ,L117-109  ,22-8,Tatum  31,Tatum  7,Smart  8
"Sun, Dec 18",vs Orlando ,L95-92  ,22-9,Brown  24,Brown  14,Smart  7
"Wed, Dec 21",vs Indiana ,L117-112  ,22-10,Tatum  41,Williams III  12,Brogdon  7
"Fri, Dec 23",vs Minnesota ,W121-109  ,23-10,Brown  36,Horford  11,Smart  10
"Sun, Dec 25",vs Milwaukee ,W139-118  ,24-10,Tatum  41,Tatum  7,Smart  8
