DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists
"Wed, Oct 19",@ San Antonio ,W129-102  ,1-0,Rozier  24,Richards  10,Rozier  6
"Fri, Oct 21",vs New Orleans ,L124-112  ,1-1,Hayward  26,Rozier  8,Rozier  11
"Sun, Oct 23",@ Atlanta ,W126-109  ,2-1,Oubre Jr.  24,Richards  11,Smith Jr.  6
"Wed, Oct 26",@ New York ,L134-131 OT ,2-2,Hayward  21,Hayward  9,Smith Jr.  11
"Fri, Oct 28",@ Orlando ,L113-93  ,2-3,Hayward  18,McDaniels  7,Smith Jr.  4
"Sat, Oct 29",vs Golden State ,W120-113 OT ,3-3,Washington  31,McDaniels  11,Smith Jr.  8
"Mon, Oct 31",vs Sacramento ,L115-108  ,3-4,Washington  28,Plumlee  10,Smith Jr.  8
"Wed, Nov 2",@ Chicago ,L106-88  ,3-5,Oubre Jr.  24,Plumlee  13,Smith Jr.  6
"Fri, Nov 4",@ Memphis ,L130-99  ,3-6,Oubre Jr.  17,Richards  9,Bouknight  5
"Sat, Nov 5",vs Brooklyn ,L98-94  ,3-7,Rozier  25,Plumlee  11,Bouknight  5
"Mon, Nov 7",vs Washington ,L108-100  ,3-8,Washington  25,Plumlee  10,Smith Jr.  10
"Wed, Nov 9",vs Portland ,L105-95  ,3-9,Rozier  18,Plumlee  12,Rozier  5
"Thu, Nov 10",@ Miami ,L117-112 OT ,3-10,Oubre Jr.  29,Plumlee  15,Smith Jr.  8
"Sat, Nov 12",@ Miami ,L132-115  ,3-11,Rozier  22,Oubre Jr.  8,Rozier  6
"Mon, Nov 14",@ Orlando ,W112-105  ,4-11,Plumlee  18,Plumlee  10,Ball  9
"Wed, Nov 16",vs Indiana ,L125-113  ,4-12,Ball  26,Oubre Jr.  13,Rozier  8
"Fri, Nov 18",@ Cleveland ,L132-122 2OT ,4-13,Oubre Jr.  34,Richards  14,Hayward  7
"Sun, Nov 20",@ Washington ,L106-102  ,4-14,Oubre Jr.  23,Richards  10,Hayward  5
"Wed, Nov 23",vs Philadelphia ,W107-101  ,5-14,Rozier  22,Richards  13,Rozier  6
"Fri, Nov 25",vs Minnesota ,W110-108  ,6-14,Oubre Jr.  28,Jones  12,Rozier  8
"Mon, Nov 28",@ Boston ,L140-105  ,6-15,McDaniels  24,Richards  7,Maledon  8
"Fri, Dec 2",vs Washington ,W117-116  ,7-15,Rozier  25,Plumlee  10,Rozier  8
"Sat, Dec 3",vs Milwaukee ,L105-96  ,7-16,Rozier  26,Plumlee  11,Washington  5
"Mon, Dec 5",vs LA ,L119-117  ,7-17,Oubre Jr.  28,Plumlee  12,Rozier  8
"Wed, Dec 7",@ Brooklyn ,L122-116  ,7-18,Rozier  29,Plumlee  11,Washington  7
"Fri, Dec 9",vs New York ,L121-102  ,7-19,Rozier  24,Plumlee  9,Rozier  4
"Sun, Dec 11",@ Philadelphia ,L131-113  ,7-20,Rozier  29,Plumlee  12,Rozier  6
"Wed, Dec 14",vs Detroit ,L141-134 OT ,7-21,Oubre Jr.  28,Plumlee  18,Ball  11
"Fri, Dec 16",vs Atlanta ,L125-106  ,7-22,Ball  27,Richards  11,Rozier  9
"Sun, Dec 18",@ Denver ,L119-115  ,7-23,Ball  31,Hayward  10,Ball  5
"Mon, Dec 19",@ Sacramento ,W125-119  ,8-23,Oubre Jr.  31,Richards  11,Ball  12
"Wed, Dec 21",@ LA ,L126-105  ,8-24,Ball  25,Ball  11,Ball  12
"Fri, Dec 23",@ Los Angeles ,W134-130  ,9-24,Washington  24,Ball  8,Ball  8
"Mon, Dec 26",@ Portland ,L124-113  ,9-25,Ball  27,Plumlee  8,Ball  7
"Tue, Dec 27",@ Golden State ,L110-105  ,9-26,Ball  21,Plumlee  13,Ball  4
"Thu, Dec 29",vs Oklahoma City ,W121-113  ,10-26,Ball  27,Williams  13,Ball  9
"Sat, Dec 31",vs Brooklyn ,L123-106  ,10-27,Ball  23,Plumlee  10,Ball  11
"Mon, Jan 2",vs Los Angeles ,L121-115  ,10-28,Rozier  27,Plumlee  14,Ball  6
"Wed, Jan 4",vs Memphis ,L131-107  ,10-29,Ball  23,Plumlee  10,Ball  12
"Fri, Jan 6",@ Milwaukee ,W138-109  ,11-29,Rozier  39,Plumlee  15,Ball  12
"Sun, Jan 8",@ Indiana ,L116-111  ,11-30,Washington  22,Plumlee  13,Ball  8
"Tue, Jan 10",@ Toronto ,L132-120  ,11-31,Rozier  33,Plumlee  7,Ball  14
"Thu, Jan 12",@ Toronto ,L124-114  ,11-32,Ball  32,Plumlee  15,Ball  7
"Sat, Jan 14",vs Boston ,L122-106  ,11-33,Ball  31,Plumlee  16,Ball  9
"Mon, Jan 16",vs Boston ,L130-118  ,11-34,McDaniels  26,Plumlee  12,Plumlee  7
"Wed, Jan 18",@ Houston ,W122-117  ,12-34,Rozier  26,Plumlee  9,Smith Jr.  7
"Sat, Jan 21",@ Atlanta ,W122-118  ,13-34,Rozier  34,Plumlee  11,Smith Jr.  8
"Mon, Jan 23",@ Utah ,L120-102  ,13-35,Rozier  23,McDaniels  9,Smith Jr.  9
"Tue, Jan 24",@ Phoenix ,L128-97  ,13-36,Rozier  19,McDaniels  10,Rozier  5
"Thu, Jan 26",vs Chicago ,W111-96  ,14-36,Rozier  28,Plumlee  12,Ball  8
"Sun, Jan 29",vs Miami ,W122-117  ,15-36,Rozier  31,Plumlee  8,Rozier  7
"Tue, Jan 31",@ Milwaukee ,L124-115  ,15-37,Ball  27,Plumlee  14,Ball  11
"Thu, Feb 2",@ Chicago ,L114-98  ,15-38,Rozier  23,Plumlee  11,Ball  6
"Fri, Feb 3",@ Detroit ,L118-112  ,15-39,Ball  23,Ball  8,Ball  8
"Sun, Feb 5",vs Orlando ,L119-113  ,15-40,Ball  33,Plumlee  9,Ball  6
"Wed, Feb 8",@ Washington ,L118-104  ,15-41,Washington  20,Williams  8,Rozier  6
"Fri, Feb 10",@ Boston ,L127-116  ,15-42,Rozier  27,Williams  12,Ball  10
"Sat, Feb 11",vs Denver ,L119-105  ,15-43,Washington  22,Ball  9,Ball  12
