DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists
"Wed, Oct 19",@ Miami ,W116-108  ,1-0,DeRozan  37,Vucevic  17,DeRozan  9
"Fri, Oct 21",@ Washington ,L102-100  ,1-1,DeRozan  32,Drummond  10,DeRozan  6
"Sat, Oct 22",vs Cleveland ,L128-96  ,1-2,LaVine  23,Drummond  7,LaVine  4
"Mon, Oct 24",vs Boston ,W120-102  ,2-2,DeRozan  25,Vucevic  23,Dragic  6
"Wed, Oct 26",vs Indiana ,W124-109  ,3-2,LaVine  28,Drummond  13,Dosunmu  7
"Fri, Oct 28",@ San Antonio ,L129-124  ,3-3,DeRozan  33,Drummond  14,Dragic  5
"Sat, Oct 29",vs Philadelphia ,L114-109  ,3-4,DeRozan  24,Vucevic  19,Caruso  6
"Tue, Nov 1",@ Brooklyn ,W108-99  ,4-4,LaVine  29,Vucevic  15,LaVine  5
"Wed, Nov 2",vs Charlotte ,W106-88  ,5-4,Green  17,Vucevic  13,LaVine  6
"Fri, Nov 4",@ Boston ,L123-119  ,5-5,DeRozan  46,Vucevic  12,DeRozan  5
"Sun, Nov 6",@ Toronto ,L113-104  ,5-6,DeRozan  20,Vucevic  12,Caruso  11
"Mon, Nov 7",vs Toronto ,W111-97  ,6-6,LaVine  30,Vucevic  13,DeRozan  7
"Wed, Nov 9",vs New Orleans ,L115-111  ,6-7,DeRozan  33,Vucevic  7,Dragic  6
"Sun, Nov 13",vs Denver ,L126-103  ,6-8,LaVine  21,Drummond  11,Dragic  6
"Wed, Nov 16",@ New Orleans ,L124-110  ,6-9,DeRozan  28,Vucevic  10,DeRozan  7
"Fri, Nov 18",vs Orlando ,L108-107  ,6-10,DeRozan  41,Vucevic  16,Vucevic  7
"Mon, Nov 21",vs Boston ,W121-107  ,7-10,DeRozan  28,Vucevic  13,Vucevic  6
"Wed, Nov 23",@ Milwaukee ,W118-113  ,8-10,DeRozan  36,Drummond  8,DeRozan  8
"Fri, Nov 25",@ Oklahoma City ,L123-119 OT ,8-11,DeRozan  30,Vucevic  13,DeRozan  6
"Mon, Nov 28",@ Utah ,W114-107  ,9-11,DeRozan  26,Drummond  10,DeRozan  6
"Wed, Nov 30",@ Phoenix ,L132-113  ,9-12,DeRozan  29,Vucevic  8,LaVine  7
"Fri, Dec 2",@ Golden State ,L119-111  ,9-13,Vucevic  23,Vucevic  11,DeRozan  7
"Sun, Dec 4",@ Sacramento ,L110-101  ,9-14,LaVine  41,LaVine  8,DeRozan  4
"Wed, Dec 7",vs Washington ,W115-111  ,10-14,DeRozan  27,Vucevic  11,Caruso  9
"Sat, Dec 10",vs Dallas ,W144-115  ,11-14,DeRozan  28,DeRozan  9,White  7
"Sun, Dec 11",@ Atlanta ,L123-122 OT ,11-15,DeRozan  34,DeRozan  13,DeRozan  8
"Wed, Dec 14",vs New York ,L128-120 OT ,11-16,DeRozan  32,Vucevic  7,Vucevic  5
"Fri, Dec 16",vs New York ,L114-91  ,11-17,LaVine  17,Vucevic  8,DeRozan  4
"Sun, Dec 18",@ Minnesota ,L150-126  ,11-18,DeRozan  29,Vucevic  9,DeRozan  6
"Tue, Dec 20",@ Miami ,W113-103  ,12-18,Vucevic  29,Vucevic  12,LaVine  7
"Wed, Dec 21",@ Atlanta ,W110-108  ,13-18,DeRozan  28,Drummond  11,DeRozan  5
"Fri, Dec 23",@ New York ,W118-117  ,14-18,LaVine  33,Vucevic  12,DeRozan  10
"Mon, Dec 26",vs Houston ,L133-118  ,14-19,DeRozan  31,Drummond  9,DeRozan  9
"Wed, Dec 28",vs Milwaukee ,W119-113 OT ,15-19,DeRozan  42,Vucevic  14,DeRozan  5
"Fri, Dec 30",vs Detroit ,W132-118  ,16-19,LaVine  43,Vucevic  9,LaVine  6
"Sat, Dec 31",vs Cleveland ,L103-102  ,16-20,DeRozan  21,Vucevic  14,DeRozan  3
"Mon, Jan 2",@ Cleveland ,L145-134 OT ,16-21,DeRozan  44,Vucevic  13,LaVine  6
"Wed, Jan 4",vs Brooklyn ,W121-112  ,17-21,DeRozan  22,Vucevic  13,Dragic  6
"Fri, Jan 6",@ Philadelphia ,W126-112  ,18-21,LaVine  41,Vucevic  18,Vucevic  10
"Sat, Jan 7",vs Utah ,W126-118  ,19-21,LaVine  36,Vucevic  16,DeRozan  7
"Mon, Jan 9",@ Boston ,L107-99  ,19-22,LaVine  27,Vucevic  13,LaVine  6
"Wed, Jan 11",@ Washington ,L100-97  ,19-23,LaVine  38,Vucevic  10,Vucevic  5
"Fri, Jan 13",vs Oklahoma City ,L124-110  ,19-24,LaVine  25,Vucevic  11,White  6
"Sun, Jan 15",vs Golden State ,W132-118  ,20-24,Vucevic  43,Vucevic  13,Caruso  7
"Thu, Jan 19",vs Detroit *,W126-108  ,21-24,LaVine  30,Vucevic  15,Vucevic  6
"Mon, Jan 23",vs Atlanta ,W111-100  ,22-24,DeRozan  26,Vucevic  17,Vucevic  7
"Tue, Jan 24",@ Indiana ,L116-110  ,22-25,DeRozan  33,Vucevic  8,Vucevic  5
"Thu, Jan 26",@ Charlotte ,L111-96  ,22-26,DeRozan  28,LaVine  9,DeRozan  5
"Sat, Jan 28",@ Orlando ,W128-109  ,23-26,LaVine  32,Vucevic  13,DeRozan  8
"Tue, Jan 31",vs LA ,L108-103  ,23-27,Vucevic  23,Vucevic  14,LaVine  8
"Thu, Feb 2",vs Charlotte ,W114-98  ,24-27,Dosunmu  22,Vucevic  12,DeRozan  7
"Sat, Feb 4",vs Portland ,W129-121  ,25-27,LaVine  36,Vucevic  11,DeRozan  7
"Mon, Feb 6",vs San Antonio ,W128-104  ,26-27,Vucevic  22,Drummond  15,DeRozan  5
"Tue, Feb 7",@ Memphis ,L104-89  ,26-28,Vucevic  28,Vucevic  17,Vucevic  6
"Thu, Feb 9",@ Brooklyn ,L116-105  ,26-29,LaVine  38,Vucevic  17,DeRozan  6
"Sat, Feb 11",@ Cleveland ,L97-89  ,26-30,LaVine  23,Vucevic  14,Dosunmu  8
"Mon, Feb 13",vs Orlando ,L100-91  ,26-31,LaVine  26,Vucevic  13,DeRozan  6
"Wed, Feb 15",@ Indiana ,L117-113  ,26-32,LaVine  35,LaVine  11,LaVine  7
"Thu, Feb 16",vs Milwaukee ,L112-100  ,26-33,Vucevic  22,Vucevic  16,Terry  6
"Fri, Feb 24",vs Brooklyn ,W131-87  ,27-33,LaVine  32,Vucevic  10,DeRozan  4
"Sun, Feb 26",vs Washington ,W102-82  ,28-33,DeRozan  29,Vucevic  13,DeRozan  6
"Tue, Feb 28",@ Toronto ,L104-98  ,28-34,Vucevic  23,Drummond  10,Caruso  6
"Wed, Mar 1",@ Detroit ,W117-115  ,29-34,LaVine  41,Beverley  10,Beverley  10
"Fri, Mar 3",vs Phoenix ,L125-104  ,29-35,DeRozan  31,Vucevic  9,DeRozan  6
"Sun, Mar 5",vs Indiana ,L125-122  ,29-36,LaVine  42,Vucevic  9,Vucevic  5
