DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists
"Wed, Oct 19",@ Toronto ,L108-105  ,0-1,Mitchell  31,Allen  10,Mitchell  9
"Sat, Oct 22",@ Chicago ,W128-96  ,1-1,Mitchell  32,Love  12,Mitchell  8
"Sun, Oct 23",vs Washington ,W117-107 OT ,2-1,Mitchell  37,Allen  14,Mitchell  4
"Wed, Oct 26",vs Orlando ,W103-92  ,3-1,Mobley  20,Allen  16,Mitchell  8
"Fri, Oct 28",@ Boston ,W132-123 OT ,4-1,LeVert  41,Allen  11,LeVert  7
"Sun, Oct 30",vs New York ,W121-108  ,5-1,Mitchell  38,Allen  13,Mitchell  12
"Wed, Nov 2",vs Boston ,W114-113 OT ,6-1,Garland  29,Allen  14,Garland  12
"Fri, Nov 4",@ Detroit ,W112-88  ,7-1,Allen  23,Love  8,Love  10
"Sun, Nov 6",@ Los Angeles ,W114-100  ,8-1,Mitchell  33,Allen  11,Garland  7
"Mon, Nov 7",@ LA ,L119-117  ,8-2,Mitchell  30,Allen  20,Garland  12
"Wed, Nov 9",@ Sacramento ,L127-120  ,8-3,Mitchell  38,LeVert  10,Garland  8
"Fri, Nov 11",@ Golden State ,L106-101  ,8-4,Mitchell  29,Mobley  13,Mitchell  9
"Sun, Nov 13",vs Minnesota ,L129-124  ,8-5,Garland  51,Mobley  13,Garland  6
"Wed, Nov 16",@ Milwaukee ,L113-98  ,8-6,Garland  23,Mobley  7,Garland  8
"Fri, Nov 18",vs Charlotte ,W132-122 2OT ,9-6,Garland  41,Mobley  18,Garland  6
"Sun, Nov 20",vs Miami ,W113-87  ,10-6,Garland  25,Osman  12,Garland  7
"Mon, Nov 21",vs Atlanta ,W114-102  ,11-6,Mitchell  29,Allen  11,Mitchell  9
"Wed, Nov 23",vs Portland ,W114-96  ,12-6,Mitchell  34,Allen  13,Garland  12
"Fri, Nov 25",@ Milwaukee ,L117-102  ,12-7,Mitchell  29,Wade  12,Garland  3
"Sun, Nov 27",@ Detroit ,W102-94  ,13-7,Mitchell  32,Mobley  13,Garland  10
"Mon, Nov 28",@ Toronto ,L100-88  ,13-8,Mobley  18,Mobley  15,Garland  10
"Wed, Nov 30",vs Philadelphia ,W113-85  ,14-8,LeVert  22,Mobley  8,Garland  9
"Fri, Dec 2",vs Orlando ,W107-96  ,15-8,Mitchell  34,Mobley  13,Garland  6
"Sun, Dec 4",@ New York ,L92-81  ,15-9,Mitchell  23,Mobley  10,Mitchell  5
"Tue, Dec 6",vs Los Angeles ,W116-102  ,16-9,Mitchell  43,Mobley  12,Garland  11
"Fri, Dec 9",vs Sacramento ,L106-95  ,16-10,LeVert  22,Allen  8,LeVert  6
"Sat, Dec 10",vs Oklahoma City ,W110-102  ,17-10,LeVert  22,Mobley  12,Garland  8
"Mon, Dec 12",@ San Antonio ,L112-111  ,17-11,Mitchell  28,Mobley  13,Garland  9
"Wed, Dec 14",@ Dallas ,W105-90  ,18-11,Mitchell  34,Stevens  11,Mobley  6
"Fri, Dec 16",vs Indiana ,W118-112  ,19-11,Mitchell  41,Mobley  9,Garland  10
"Sat, Dec 17",vs Dallas ,W100-99 OT ,20-11,Mitchell  25,Allen  15,Garland  12
"Mon, Dec 19",vs Utah ,W122-99  ,21-11,Mitchell  23,Allen  11,Garland  8
"Wed, Dec 21",vs Milwaukee ,W114-106  ,22-11,Mitchell  36,Love  9,Mitchell  6
"Fri, Dec 23",vs Toronto ,L118-107  ,22-12,Garland  17,Mobley  8,Garland  8
"Mon, Dec 26",vs Brooklyn ,L125-117  ,22-13,Garland  46,Allen  11,Garland  8
"Thu, Dec 29",@ Indiana ,L135-126  ,22-14,Mitchell  28,Allen  14,Garland  8
"Sat, Dec 31",@ Chicago ,W103-102  ,23-14,LeVert  23,Allen  10,Mitchell  6
"Mon, Jan 2",vs Chicago ,W145-134 OT ,24-14,Mitchell  71,Love  17,Mitchell  11
"Wed, Jan 4",vs Phoenix ,W90-88  ,25-14,LeVert  21,Mobley  8,Mitchell  9
"Fri, Jan 6",@ Denver ,L121-108  ,25-15,LeVert  22,Allen  9,Garland  8
"Sun, Jan 8",@ Phoenix ,W112-98  ,26-15,Garland  22,Allen  12,Garland  7
"Tue, Jan 10",@ Utah ,L116-114  ,26-16,Mitchell  46,Love  9,Mitchell  6
"Thu, Jan 12",@ Portland ,W119-113  ,27-16,Mitchell  26,Allen  10,Garland  10
"Sat, Jan 14",@ Minnesota ,L110-102  ,27-17,Allen  19,Allen  8,Mitchell  6
"Mon, Jan 16",vs New Orleans ,W113-103  ,28-17,Garland  30,Allen  11,Garland  11
"Wed, Jan 18",@ Memphis ,L115-114  ,28-18,Garland  24,Mobley  15,Garland  14
"Fri, Jan 20",vs Golden State ,L120-114  ,28-19,Garland  31,Allen  8,Garland  9
"Sat, Jan 21",vs Milwaukee ,W114-102  ,29-19,Mobley  38,Mobley  9,Garland  10
"Tue, Jan 24",@ New York ,L105-103  ,29-20,Allen  24,Allen  12,Mitchell  8
"Thu, Jan 26",@ Houston ,W113-95  ,30-20,Garland  26,Mobley  10,Garland  9
"Fri, Jan 27",@ Oklahoma City ,L112-100  ,30-21,Garland  31,Mobley  11,Garland  13
