DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists
"Wed, Oct 19",@ Phoenix ,L107-105  ,0-1,Doncic  35,Doncic  9,Doncic  6
"Sat, Oct 22",vs Memphis ,W137-96  ,1-1,Doncic  32,Wood  12,Doncic  10
"Tue, Oct 25",@ New Orleans ,L113-111  ,1-2,Doncic  37,Doncic  11,Doncic  7
"Thu, Oct 27",@ Brooklyn ,W129-125 OT ,2-2,Doncic  41,Doncic  11,Doncic  14
"Sat, Oct 29",vs Oklahoma City ,L117-111 OT ,2-3,Doncic  31,Doncic  16,Doncic  10
"Sun, Oct 30",vs Orlando ,W114-105  ,3-3,Doncic  44,Wood  10,Doncic  5
"Wed, Nov 2",vs Utah ,W103-100  ,4-3,Doncic  33,Wood  10,Doncic  11
"Fri, Nov 4",vs Toronto ,W111-110  ,5-3,Doncic  35,Doncic  8,Dinwiddie  7
"Mon, Nov 7",vs Brooklyn ,W96-94  ,6-3,Doncic  36,Powell  8,Doncic  6
"Wed, Nov 9",@ Orlando ,L94-87  ,6-4,Dinwiddie  29,Doncic  6,Doncic  6
"Thu, Nov 10",@ Washington ,L113-105  ,6-5,Dinwiddie  33,Doncic  9,Dinwiddie  6
"Sat, Nov 12",vs Portland ,W117-112  ,7-5,Doncic  42,Doncic  13,Doncic  10
"Tue, Nov 15",vs LA ,W103-101  ,8-5,Doncic  35,Doncic  11,Dinwiddie  6
"Wed, Nov 16",vs Houston ,L101-92  ,8-6,Hardaway Jr.  28,Wood  8,Dinwiddie  10
"Fri, Nov 18",vs Denver ,W127-99  ,9-6,Doncic  33,Doncic  12,Doncic  11
"Sun, Nov 20",vs Denver ,L98-97  ,9-7,Green  23,Doncic  9,Doncic  8
"Wed, Nov 23",@ Boston ,L125-112  ,9-8,Doncic  42,Wood  12,Doncic  9
"Sat, Nov 26",@ Toronto ,L105-100  ,9-9,Doncic  24,Doncic  7,Doncic  9
"Sun, Nov 27",@ Milwaukee ,L124-115  ,9-10,Doncic  27,Wood  7,Doncic  12
"Tue, Nov 29",vs Golden State ,W116-113  ,10-10,Doncic  41,Doncic  12,Doncic  12
"Thu, Dec 1",@ Detroit ,L131-125 OT ,10-11,Doncic  35,Wood  8,Doncic  10
"Sat, Dec 3",@ New York ,W121-100  ,11-11,Doncic  30,Dinwiddie  9,Dinwiddie  9
"Mon, Dec 5",vs Phoenix ,W130-111  ,12-11,Doncic  33,Wood  9,Doncic  8
"Tue, Dec 6",@ Denver ,W116-115  ,13-11,Hardaway Jr.  29,Doncic  10,Doncic  12
