DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists
"Wed, Oct 19",@ Utah ,L123-102  ,0-1,Jokic  27,Gordon  10,Jokic  6
"Fri, Oct 21",@ Golden State ,W128-123  ,1-1,Jokic  26,Jokic  12,Jokic  10
"Sat, Oct 22",vs Oklahoma City ,W122-117  ,2-1,Porter Jr.  22,Jokic  16,Jokic  13
"Mon, Oct 24",@ Portland ,L135-110  ,2-2,Gordon  26,Jokic  9,Jokic  9
"Wed, Oct 26",vs Los Angeles ,W110-99  ,3-2,Jokic  31,Jokic  13,Jokic  9
"Fri, Oct 28",vs Utah ,W117-101  ,4-2,Hyland  26,Porter Jr.  13,Jokic  6
"Sun, Oct 30",@ Los Angeles ,L121-110  ,4-3,Jokic  23,Jokic  14,Jokic  6
"Thu, Nov 3",@ Oklahoma City ,W122-110  ,5-3,Gordon  27,Jokic  13,Jokic  14
"Sat, Nov 5",vs San Antonio ,W126-101  ,6-3,Hyland  24,Porter Jr.  9,Jokic  10
"Mon, Nov 7",@ San Antonio ,W115-109  ,7-3,Jokic  26,Jokic  8,Jokic  10
"Wed, Nov 9",@ Indiana ,W122-119  ,8-3,Jokic  24,Gordon  16,Jokic  6
"Fri, Nov 11",@ Boston ,L131-112  ,8-4,Jokic  29,Brown  10,Murray  10
"Sun, Nov 13",@ Chicago ,W126-103  ,9-4,Porter Jr.  31,Brown  11,Jokic  14
"Wed, Nov 16",vs New York ,L106-103  ,9-5,Murray  21,Murray  9,Murray  6
"Fri, Nov 18",@ Dallas ,L127-99  ,9-6,Brown  18,Jordan  7,Brown  7
"Sun, Nov 20",@ Dallas ,W98-97  ,10-6,Hyland  29,Jordan  17,Brown  8
"Tue, Nov 22",vs Detroit ,L110-108  ,10-7,Jokic  31,Jokic  9,Jokic  10
"Wed, Nov 23",@ Oklahoma City ,W131-126 OT ,11-7,Jokic  39,Brown  13,Brown  10
