DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists
"Tue, Oct 18",vs Los Angeles ,W123-109  ,1-0,Curry  33,Wiseman  7,Curry  7
"Fri, Oct 21",vs Denver ,L128-123  ,1-1,Curry  34,Wiggins  8,Green  9
"Sun, Oct 23",vs Sacramento ,W130-125  ,2-1,Curry  33,Looney  8,Looney  6
"Tue, Oct 25",@ Phoenix ,L134-105  ,2-2,Curry  21,Green  8,Curry  8
"Thu, Oct 27",vs Miami ,W123-110  ,3-2,Curry  33,Wiggins  10,Curry  9
"Sat, Oct 29",@ Charlotte ,L120-113 OT ,3-3,Curry  31,Curry  11,Curry  6
"Sun, Oct 30",@ Detroit ,L128-114  ,3-4,Curry  32,Looney  9,Green  7
"Tue, Nov 1",@ Miami ,L116-109  ,3-5,Curry  23,Curry  13,Curry  13
"Thu, Nov 3",@ Orlando ,L130-129  ,3-6,Curry  39,Looney  7,Curry  9
"Fri, Nov 4",@ New Orleans ,L114-105  ,3-7,Poole  20,Jerome  6,Poole  9
"Mon, Nov 7",vs Sacramento ,W116-113  ,4-7,Curry  47,Looney  13,Curry  8
"Fri, Nov 11",vs Cleveland ,W106-101  ,5-7,Curry  40,Looney  9,Green  13
"Sun, Nov 13",@ Sacramento ,L122-115  ,5-8,Curry  27,Looney  10,Green  11
"Mon, Nov 14",vs San Antonio ,W132-95  ,6-8,Poole  36,Green  7,Green  6
"Wed, Nov 16",@ Phoenix ,L130-119  ,6-9,Curry  50,Curry  9,Green  8
"Fri, Nov 18",vs New York ,W111-101  ,7-9,Curry  24,Green  9,Curry  10
"Sun, Nov 20",@ Houston ,W127-120  ,8-9,Thompson  41,Looney  7,Curry  15
"Mon, Nov 21",@ New Orleans ,L128-83  ,8-10,Poole  26,Green  8,Lamb  5
"Wed, Nov 23",vs LA ,W124-107  ,9-10,Wiggins  31,Green  7,Green  12
"Fri, Nov 25",vs Utah ,W129-118  ,10-10,Curry  33,Looney  12,Poole  6
"Sun, Nov 27",@ Minnesota ,W137-114  ,11-10,Curry  25,Curry  11,Green  11
"Tue, Nov 29",@ Dallas ,L116-113  ,11-11,Curry  32,Kuminga  10,Poole  9
"Fri, Dec 2",vs Chicago ,W119-111  ,12-11,Poole  30,Looney  12,Green  10
"Sat, Dec 3",vs Houston ,W120-101  ,13-11,Wiggins  36,Looney  12,Curry  10
"Mon, Dec 5",vs Indiana ,L112-104  ,13-12,Thompson  28,Green  9,Curry  6
"Wed, Dec 7",@ Utah ,L124-123  ,13-13,Poole  36,DiVincenzo  9,Poole  8
"Sat, Dec 10",vs Boston ,W123-107  ,14-13,Thompson  34,Looney  15,Curry  7
"Tue, Dec 13",@ Milwaukee ,L128-111  ,14-14,Curry  20,Looney  8,Green  7
"Wed, Dec 14",@ Indiana ,L125-119  ,14-15,Curry  38,DiVincenzo  8,Curry  7
"Fri, Dec 16",@ Philadelphia ,L118-106  ,14-16,Poole  29,Looney  11,Looney  9
"Sun, Dec 18",@ Toronto ,W126-110  ,15-16,Poole  43,Looney  11,Poole  6
"Tue, Dec 20",@ New York ,L132-94  ,15-17,Poole  26,Looney  6,Green  6
"Wed, Dec 21",@ Brooklyn ,L143-113  ,15-18,Wiseman  30,Looney  7,Jerome  7
"Sun, Dec 25",vs Memphis ,W123-109  ,16-18,Poole  32,Green  13,Green  13
"Tue, Dec 27",vs Charlotte ,W110-105  ,17-18,Thompson  29,Green  10,DiVincenzo  7
"Wed, Dec 28",vs Utah ,W112-107  ,18-18,Poole  26,Looney  12,Looney  5
"Fri, Dec 30",vs Portland ,W118-112  ,19-18,Poole  41,Green  11,Poole  6
"Mon, Jan 2",vs Atlanta ,W143-141 2OT ,20-18,Thompson  54,Looney  20,Green  11
"Wed, Jan 4",vs Detroit ,L122-119  ,20-19,Thompson  30,Looney  15,Green  7
"Sat, Jan 7",vs Orlando ,L115-101  ,20-20,Lamb  26,Looney  12,Poole  6
"Tue, Jan 10",vs Phoenix ,L125-113  ,20-21,Thompson  29,Green  12,Poole  6
"Fri, Jan 13",@ San Antonio ,W144-113  ,21-21,Poole  25,Green  12,Poole  6
"Sun, Jan 15",@ Chicago ,L132-118  ,21-22,Thompson  26,Curry  10,Green  7
"Mon, Jan 16",@ Washington ,W127-118  ,22-22,Curry  41,Looney  9,Green  10
"Thu, Jan 19",@ Boston ,L121-118 OT ,22-23,Curry  29,Green  13,Green  9
"Fri, Jan 20",@ Cleveland ,W120-114  ,23-23,Poole  32,Looney  17,Jerome  8
"Sun, Jan 22",vs Brooklyn ,L120-116  ,23-24,Curry  26,Green  11,DiVincenzo  8
"Wed, Jan 25",vs Memphis ,W122-120  ,24-24,Curry  34,Green  13,Poole  7
"Fri, Jan 27",vs Toronto ,W129-117  ,25-24,Curry  35,Thompson  8,Curry  11
"Mon, Jan 30",@ Oklahoma City ,W128-120  ,26-24,Curry  38,Green  9,Curry  12
"Wed, Feb 1",@ Minnesota ,L119-114 OT ,26-25,Curry  29,Green  12,Poole  5
"Thu, Feb 2",@ Denver ,L134-117  ,26-26,Curry  28,Wiggins  10,Curry  5
"Sat, Feb 4",vs Dallas ,W119-113  ,27-26,Curry  21,Green  9,Green  9
"Mon, Feb 6",vs Oklahoma City ,W141-114  ,28-26,Thompson  42,Looney  11,Poole  12
"Wed, Feb 8",@ Portland ,L125-122  ,28-27,Poole  38,Wiggins  10,Poole  7
"Sat, Feb 11",vs Los Angeles ,L109-103  ,28-28,Poole  29,Looney  13,Green  10
"Mon, Feb 13",vs Washington ,W135-126  ,29-28,Wiggins  29,Looney  13,Jerome  7
"Tue, Feb 14",@ LA ,L134-124  ,29-29,Poole  28,Looney  14,Green  7
"Thu, Feb 23",@ Los Angeles ,L124-111  ,29-30,Thompson  22,Looney  15,Kuminga  5
"Fri, Feb 24",vs Houston ,W116-101  ,30-30,Thompson  42,Looney  13,Poole  8
"Sun, Feb 26",vs Minnesota ,W109-104  ,31-30,Thompson  32,Looney  17,DiVincenzo  5
"Tue, Feb 28",vs Portland ,W123-105  ,32-30,Poole  29,Green  9,Green  8
"Thu, Mar 2",vs LA ,W115-91  ,33-30,Poole  34,Thompson  11,Green  9
"Fri, Mar 3",vs New Orleans ,W108-99  ,34-30,Thompson  27,Looney  11,Poole  7
"Sun, Mar 5",@ Los Angeles ,L113-105  ,34-31,Curry  27,Green  8,Curry  6
"Tue, Mar 7",@ Oklahoma City ,L137-128  ,34-32,Curry  40,Curry  6,Green  11
"Thu, Mar 9",@ Memphis ,L131-110  ,34-33,Curry  29,Curry  7,Green  7
"Sat, Mar 11",vs Milwaukee ,W125-116 OT ,35-33,Curry  36,Looney  15,Green  9
"Mon, Mar 13",vs Phoenix ,W123-112  ,36-33,Thompson  38,Looney  10,Poole  6
"Wed, Mar 15",@ LA ,L134-126  ,36-34,Curry  50,Looney  13,Curry  6
"Fri, Mar 17",@ Atlanta ,L127-119  ,36-35,Curry  31,Looney  16,DiVincenzo  6
"Sat, Mar 18",@ Memphis ,L133-119  ,36-36,Kuminga  24,Kuminga  8,DiVincenzo  7
"Mon, Mar 20",@ Houston ,W121-108  ,37-36,Curry  30,Looney  10,Poole  8
"Wed, Mar 22",@ Dallas ,W127-125  ,38-36,Kuminga  22,Looney  12,Curry  13
"Fri, Mar 24",vs Philadelphia ,W120-112  ,44-38,Poole  33,Looney  10,Green  10
"Sun, Mar 26",vs Minnesota ,L99-96  ,39-37,Poole  27,Green  7,Curry  9
"Tue, Mar 28",vs New Orleans ,W120-109  ,40-37,Curry  39,Curry  8,Green  13
"Fri, Mar 31",vs San Antonio ,W130-115  ,41-37,Curry  33,Looney  9,Green  11
"Sun, Apr 2",@ Denver ,L112-110  ,41-38,Thompson  25,Looney  14,Green  7
"Tue, Apr 4",vs Oklahoma City ,W136-125  ,42-38,Curry  34,Looney  11,Curry  6
"Fri, Apr 7",@ Sacramento ,W119-97  ,43-38,Thompson  29,Looney  16,DiVincenzo  9
"Sun, Apr 9",@ Portland ,W157-101  ,44-38,Curry  26,Looney  8,DiVincenzo  8
