DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists
"Wed, Oct 19",@ Atlanta ,L117-107  ,0-1,Porter Jr.  21,Sengun  9,Porter Jr.  7
"Fri, Oct 21",vs Memphis ,L129-122  ,0-2,Green  33,Sengun  12,Porter Jr.  4
"Sat, Oct 22",@ Milwaukee ,L125-105  ,0-3,Green  22,Smith Jr.  11,Porter Jr.  7
"Mon, Oct 24",vs Utah ,W114-108  ,1-3,Porter Jr.  26,Porter Jr.  10,Porter Jr.  4
"Wed, Oct 26",@ Utah ,L109-101  ,1-4,Porter Jr.  24,Martin Jr.  10,Porter Jr.  5
"Fri, Oct 28",@ Portland ,L125-111  ,1-5,Gordon  18,Sengun  11,Tate  6
"Sun, Oct 30",@ Phoenix ,L124-109  ,1-6,Porter Jr.  26,Sengun  9,Porter Jr.  6
"Mon, Oct 31",@ LA ,L95-93  ,1-7,Martin Jr.  23,Sengun  9,Porter Jr.  5
"Wed, Nov 2",vs LA ,L109-101  ,1-8,Sengun  26,Sengun  13,Porter Jr.  7
"Sat, Nov 5",@ Minnesota ,L129-117  ,1-9,Green  21,Sengun  7,Nix  6
"Mon, Nov 7",@ Orlando ,W134-127  ,2-9,Green  34,Sengun  10,Porter Jr.  11
"Wed, Nov 9",@ Toronto ,L116-109  ,2-10,Green  21,Smith Jr.  10,Porter Jr.  11
"Sat, Nov 12",@ New Orleans ,L119-106  ,2-11,Green  33,Smith Jr.  15,Green  6
"Mon, Nov 14",vs LA ,L122-106  ,2-12,Green  25,Porter Jr.  7,Green  7
"Wed, Nov 16",@ Dallas ,W101-92  ,3-12,Porter Jr.  17,Porter Jr.  11,Porter Jr.  8
"Fri, Nov 18",vs Indiana ,L99-91  ,3-13,Gordon  24,Sengun  9,Green  5
"Sun, Nov 20",vs Golden State ,L127-120  ,3-14,Porter Jr.  30,Eason  8,Porter Jr.  6
"Fri, Nov 25",vs Atlanta ,W128-122  ,4-14,Green  30,Martin Jr.  15,Porter Jr.  10
