DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists
"Wed, Oct 19",vs Washington ,L114-107  ,0-1,Haliburton  26,Hield  10,Haliburton  7
"Fri, Oct 21",vs San Antonio ,L137-134  ,0-2,Haliburton  27,Taylor  7,Haliburton  12
"Sat, Oct 22",vs Detroit ,W124-115  ,1-2,Mathurin  27,Smith  15,Haliburton  10
"Mon, Oct 24",@ Philadelphia ,L120-106  ,1-3,Haliburton  19,Smith  10,Haliburton  10
"Wed, Oct 26",@ Chicago ,L124-109  ,1-4,Hield  25,Smith  9,Haliburton  11
"Fri, Oct 28",@ Washington ,W127-117  ,2-4,Turner  27,Turner  10,Haliburton  12
"Sat, Oct 29",@ Brooklyn ,W125-116  ,3-4,Mathurin  32,Smith  14,Haliburton  8
"Mon, Oct 31",@ Brooklyn ,L116-109  ,3-5,Duarte  30,Haliburton  8,Hield  7
"Fri, Nov 4",vs Miami ,W101-99  ,4-5,Hield  25,Hield  9,Haliburton  9
"Mon, Nov 7",vs New Orleans ,W129-122  ,5-5,Turner  37,Turner  12,Haliburton  13
"Wed, Nov 9",vs Denver ,L122-119  ,5-6,Mathurin  30,Turner  11,Haliburton  12
"Sat, Nov 12",vs Toronto ,W118-104  ,6-6,Hield  22,Turner  10,Haliburton  15
"Wed, Nov 16",@ Charlotte ,W125-113  ,7-6,Haliburton  22,Turner  10,Haliburton  11
"Fri, Nov 18",@ Houston ,W99-91  ,8-6,Haliburton  19,Smith  18,Haliburton  8
"Sat, Nov 19",vs Orlando ,W114-113  ,9-6,Haliburton  22,Turner  11,Haliburton  14
"Mon, Nov 21",vs Orlando ,W123-102  ,10-6,Mathurin  22,Jackson  8,Haliburton  14
"Wed, Nov 23",vs Minnesota ,L115-101  ,10-7,Turner  31,Turner  7,Haliburton  14
"Fri, Nov 25",vs Brooklyn ,W128-117  ,11-7,Hield  26,Turner  8,Haliburton  15
"Sun, Nov 27",@ LA ,L114-100  ,11-8,Smith  23,Smith  9,Haliburton  11
"Mon, Nov 28",@ Los Angeles ,W116-115  ,12-8,Haliburton  24,Turner  13,Haliburton  14
"Wed, Nov 30",@ Sacramento ,L137-114  ,12-9,Smith  22,Smith  6,Haliburton  10
"Fri, Dec 2",@ Utah ,L139-119  ,12-10,Turner  18,Haliburton  6,Nembhard  10
"Sun, Dec 4",@ Portland ,L116-100  ,12-11,Turner  24,Hield  11,Nembhard  8
"Mon, Dec 5",@ Golden State ,W112-104  ,13-11,Nembhard  31,Hield  9,Nembhard  13
"Wed, Dec 7",@ Minnesota ,L121-115  ,13-12,Hield  26,Turner  7,Haliburton  15
"Fri, Dec 9",vs Washington ,W121-111  ,14-12,Hield  28,Mathurin  8,Haliburton  11
