DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists
"Tue, Oct 18",@ Golden State ,L123-109  ,0-1,James  31,James  15,James  8
"Thu, Oct 20",vs LA ,L103-97  ,0-2,Walker IV  26,James  10,James  6
"Sun, Oct 23",vs Portland ,L106-104  ,0-3,James  31,Davis  10,James  8
"Wed, Oct 26",@ Denver ,L110-99  ,0-4,Davis  22,Davis  14,James  9
"Fri, Oct 28",@ Minnesota ,L111-102  ,0-5,James  28,Westbrook  8,James  5
"Sun, Oct 30",vs Denver ,W121-110  ,1-5,James  26,Davis  15,James  8
"Wed, Nov 2",vs New Orleans ,W120-117 OT ,2-5,Walker IV  28,Davis  16,Westbrook  9
"Fri, Nov 4",vs Utah ,L130-116  ,2-6,Westbrook  26,James  10,James  8
"Sun, Nov 6",vs Cleveland ,L114-100  ,2-7,James  27,Davis  12,Westbrook  10
"Mon, Nov 7",@ Utah ,L139-116  ,2-8,Davis  29,Jones  7,Westbrook  5
"Wed, Nov 9",@ LA ,L114-101  ,2-9,James  30,Davis  9,Westbrook  9
"Fri, Nov 11",vs Sacramento ,L120-114  ,2-10,Davis  24,Davis  14,Westbrook  11
"Sun, Nov 13",vs Brooklyn ,W116-103  ,3-10,Davis  37,Davis  18,Westbrook  12
"Fri, Nov 18",vs Detroit ,W128-121  ,4-10,Davis  38,Davis  16,Westbrook  12
"Sun, Nov 20",vs San Antonio ,W123-92  ,5-10,Davis  30,Davis  18,Westbrook  10
"Tue, Nov 22",@ Phoenix ,L115-105  ,5-11,Davis  37,Davis  21,Westbrook  5
"Fri, Nov 25",@ San Antonio ,W105-94  ,6-11,Davis  25,Davis  15,Westbrook  7
"Sat, Nov 26",@ San Antonio ,W143-138  ,7-11,James  39,James  11,Schroder  6
"Mon, Nov 28",vs Indiana ,L116-115  ,7-12,Davis  25,Davis  13,Davis  6
"Wed, Nov 30",vs Portland ,W128-109  ,8-12,James  31,Davis  12,James  8
"Fri, Dec 2",@ Milwaukee ,W133-129  ,9-12,Davis  44,Davis  10,James  11
