DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists
"Wed, Oct 19",vs Chicago ,L116-108  ,0-1,Butler  24,Adebayo  9,Lowry  4
"Fri, Oct 21",vs Boston ,L111-104  ,0-2,Herro  25,Adebayo  8,Lowry  6
"Sat, Oct 22",vs Toronto ,W112-109  ,1-2,Butler  24,Herro  8,Lowry  6
"Mon, Oct 24",vs Toronto ,L98-90  ,1-3,Butler  26,Herro  15,Butler  4
"Wed, Oct 26",@ Portland ,W119-98  ,2-3,Adebayo  18,Strus  9,Vincent  7
"Thu, Oct 27",@ Golden State ,L123-110  ,2-4,Butler  27,Adebayo  8,Butler  8
"Sat, Oct 29",@ Sacramento ,L119-113  ,2-5,Herro  34,Butler  7,Butler  6
"Tue, Nov 1",vs Golden State ,W116-109  ,3-5,Strus  24,Vincent  8,Lowry  9
"Wed, Nov 2",vs Sacramento ,W110-107  ,4-5,Herro  26,Herro  12,Lowry  7
"Fri, Nov 4",@ Indiana ,L101-99  ,4-6,Herro  29,Adebayo  10,Herro  5
"Mon, Nov 7",vs Portland ,L110-107  ,4-7,Adebayo  16,Lowry  7,Lowry  8
"Thu, Nov 10",vs Charlotte ,W117-112 OT ,5-7,Butler  35,Adebayo  14,Butler  8
"Sat, Nov 12",vs Charlotte ,W132-115  ,6-7,Strus  31,Adebayo  15,Butler  8
"Mon, Nov 14",vs Phoenix ,W113-112  ,7-7,Adebayo  30,Butler  13,Butler  7
"Wed, Nov 16",@ Toronto ,L112-104  ,7-8,Strus  20,Martin  9,Vincent  5
"Fri, Nov 18",@ Washington ,L107-106 OT ,7-9,Lowry  24,Highsmith  14,Lowry  15
"Sun, Nov 20",@ Cleveland ,L113-87  ,7-10,Adebayo  21,Adebayo  6,Jovic  5
"Mon, Nov 21",@ Minnesota ,L105-101  ,7-11,Lowry  21,Adebayo  14,Lowry  9
"Wed, Nov 23",vs Washington ,W113-105  ,8-11,Lowry  28,Adebayo  11,Martin  4
"Fri, Nov 25",vs Washington ,W110-107  ,9-11,Adebayo  38,Adebayo  12,Herro  10
"Sun, Nov 27",@ Atlanta ,W106-98  ,10-11,Adebayo  32,Herro  11,Herro  10
"Wed, Nov 30",@ Boston ,L134-121  ,10-12,Adebayo  23,Highsmith  8,Herro  9
"Fri, Dec 2",@ Boston ,W120-116 OT ,11-12,Adebayo  28,Butler  15,Lowry  4
"Mon, Dec 5",@ Memphis ,L101-93  ,11-13,Herro  23,Herro  13,Butler  8
"Tue, Dec 6",vs Detroit ,L116-96  ,11-14,Herro  34,Adebayo  15,Herro  6
"Thu, Dec 8",vs LA ,W115-110  ,12-14,Adebayo  31,Adebayo  10,Butler  8
"Sat, Dec 10",vs San Antonio ,L115-111  ,12-15,Butler  30,Adebayo  9,Lowry  7
"Mon, Dec 12",@ Indiana ,W87-82  ,13-15,Adebayo  22,Adebayo  17,Herro  6
"Wed, Dec 14",@ Oklahoma City ,W110-108  ,14-15,Herro  35,Adebayo  13,Lowry  6
"Thu, Dec 15",@ Houston ,W111-108  ,15-15,Herro  41,Butler  10,Butler  7
"Sat, Dec 17",@ San Antonio ,W111-101  ,16-15,Butler  26,Adebayo  13,Herro  7
"Tue, Dec 20",vs Chicago ,L113-103  ,16-16,Adebayo  27,Adebayo  12,Herro  7
"Fri, Dec 23",vs Indiana ,L111-108  ,16-17,Herro  28,Adebayo  7,Lowry  5
"Mon, Dec 26",vs Minnesota ,W113-110  ,17-17,Strus  19,Robinson  9,Lowry  9
"Wed, Dec 28",vs Los Angeles ,W112-98  ,18-17,Butler  27,Adebayo  14,Herro  9
"Fri, Dec 30",@ Denver ,L124-119  ,18-18,Herro  26,Herro  10,Butler  8
"Sat, Dec 31",@ Utah ,W126-123  ,19-18,Adebayo  32,Herro  9,Herro  6
"Mon, Jan 2",@ LA ,W110-100  ,20-18,Adebayo  31,Adebayo  13,Butler  6
"Wed, Jan 4",@ Los Angeles ,L112-109  ,20-19,Adebayo  30,Adebayo  13,Oladipo  5
"Fri, Jan 6",@ Phoenix ,W104-96  ,21-19,Oladipo  26,Adebayo  11,Butler  6
"Sun, Jan 8",vs Brooklyn ,L102-101  ,21-20,Butler  26,Robinson  9,Oladipo  6
"Tue, Jan 10",vs Oklahoma City ,W112-111  ,22-20,Butler  35,Butler  7,Butler  4
"Thu, Jan 12",vs Milwaukee ,W108-102  ,23-20,Vincent  28,Adebayo  12,Oladipo  8
"Sat, Jan 14",vs Milwaukee ,W111-95  ,24-20,Vincent  27,Adebayo  13,Oladipo  5
"Mon, Jan 16",@ Atlanta ,L121-113  ,24-21,Butler  34,Adebayo  13,Oladipo  10
"Wed, Jan 18",@ New Orleans ,W124-98  ,25-21,Adebayo  26,Adebayo  8,Strus  10
"Fri, Jan 20",@ Dallas ,L115-90  ,25-22,Oladipo  20,Adebayo  11,Adebayo  4
"Sun, Jan 22",vs New Orleans ,W100-96  ,26-22,Herro  26,Adebayo  9,Oladipo  5
"Tue, Jan 24",vs Boston ,W98-95  ,27-22,Adebayo  30,Adebayo  15,Lowry  8
"Fri, Jan 27",vs Orlando ,W110-105  ,28-22,Butler  29,Martin  7,Adebayo  7
"Sun, Jan 29",@ Charlotte ,L122-117  ,28-23,Butler  28,Butler  7,Adebayo  6
"Tue, Jan 31",@ Cleveland ,W100-97  ,29-23,Butler  23,Adebayo  11,Oladipo  6
"Thu, Feb 2",@ New York ,L106-104  ,29-24,Adebayo  32,Adebayo  9,Herro  8
"Sat, Feb 4",@ Milwaukee ,L123-115  ,29-25,Butler  32,Adebayo  11,Adebayo  8
"Wed, Feb 8",vs Indiana ,W116-111  ,30-25,Adebayo  38,Martin  11,Butler  7
"Fri, Feb 10",vs Houston ,W97-95  ,31-25,Herro  31,Herro  9,Herro  8
"Sat, Feb 11",@ Orlando ,W107-103 OT ,32-25,Herro  23,Adebayo  17,Strus  7
