DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists
"Thu, Oct 20",@ Philadelphia ,W90-88  ,1-0,Antetokounmpo  21,Antetokounmpo  13,Antetokounmpo  8
"Sat, Oct 22",vs Houston ,W125-105  ,2-0,Antetokounmpo  44,Antetokounmpo  12,Holiday  10
"Wed, Oct 26",vs Brooklyn ,W110-99  ,3-0,Antetokounmpo  43,Antetokounmpo  14,Antetokounmpo  5
"Fri, Oct 28",vs New York ,W119-108  ,4-0,Antetokounmpo  30,Antetokounmpo  14,Antetokounmpo  9
"Sat, Oct 29",vs Atlanta ,W123-115  ,5-0,Antetokounmpo  34,Antetokounmpo  17,Holiday  12
"Mon, Oct 31",vs Detroit ,W110-108  ,6-0,Antetokounmpo  31,Portis  12,Holiday  10
"Wed, Nov 2",vs Detroit ,W116-91  ,7-0,Antetokounmpo  32,Antetokounmpo  12,Antetokounmpo  4
"Fri, Nov 4",@ Minnesota ,W115-102  ,8-0,Holiday  29,Antetokounmpo  14,Antetokounmpo  11
"Sat, Nov 5",vs Oklahoma City ,W108-94  ,9-0,Lopez  25,Portis  21,Holiday  13
"Mon, Nov 7",@ Atlanta ,L117-98  ,9-1,Antetokounmpo  25,Portis  10,Holiday  7
"Wed, Nov 9",@ Oklahoma City ,W136-132 2OT ,10-1,Carter  36,Lopez  13,Carter  12
"Fri, Nov 11",@ San Antonio ,L111-93  ,10-2,Carter  21,Portis  12,Carter  6
"Mon, Nov 14",vs Atlanta ,L121-106  ,10-3,Antetokounmpo  27,Portis  10,Carter  6
"Wed, Nov 16",vs Cleveland ,W113-98  ,11-3,Lopez  29,Antetokounmpo  12,Antetokounmpo  8
"Fri, Nov 18",@ Philadelphia ,L110-102  ,11-4,Antetokounmpo  25,Antetokounmpo  14,Antetokounmpo  4
"Mon, Nov 21",vs Portland ,W119-111  ,12-4,Antetokounmpo  37,Allen  8,Antetokounmpo  6
"Wed, Nov 23",vs Chicago ,L118-113  ,12-5,Antetokounmpo  36,Portis  12,Holiday  11
"Fri, Nov 25",vs Cleveland ,W117-102  ,13-5,Antetokounmpo  38,Antetokounmpo  9,Antetokounmpo  6
"Sun, Nov 27",vs Dallas ,W124-115  ,14-5,Antetokounmpo  30,Antetokounmpo  11,Holiday  6
"Wed, Nov 30",@ New York ,W109-103  ,15-5,Antetokounmpo  37,Antetokounmpo  13,Antetokounmpo  7
"Fri, Dec 2",vs Los Angeles ,L133-129  ,15-6,Antetokounmpo  40,Portis  10,Holiday  9
"Sat, Dec 3",@ Charlotte ,W105-96  ,16-6,Portis  20,Portis  8,Portis  7
"Mon, Dec 5",@ Orlando ,W109-102  ,17-6,Antetokounmpo  34,Antetokounmpo  13,Holiday  10
"Wed, Dec 7",vs Sacramento ,W126-113  ,18-6,Antetokounmpo  35,Lopez  9,Antetokounmpo  7
"Fri, Dec 9",@ Dallas ,W106-105  ,19-6,Antetokounmpo  28,Antetokounmpo  10,Holiday  6
"Sun, Dec 11",@ Houston ,L97-92  ,19-7,Holiday  25,Antetokounmpo  18,Holiday  8
"Tue, Dec 13",vs Golden State ,W128-111  ,20-7,Antetokounmpo  30,Antetokounmpo  12,Antetokounmpo  5
"Thu, Dec 15",@ Memphis ,L142-101  ,20-8,Portis  19,Portis  7,Antetokounmpo  5
"Sat, Dec 17",vs Utah ,W123-97  ,21-8,Portis  22,Portis  14,Holiday  8
"Mon, Dec 19",@ New Orleans ,W128-119  ,22-8,Antetokounmpo  42,Antetokounmpo  10,Holiday  11
"Wed, Dec 21",@ Cleveland ,L114-106  ,22-9,Antetokounmpo  45,Antetokounmpo  14,Holiday  8
"Fri, Dec 23",@ Brooklyn ,L118-100  ,22-10,Antetokounmpo  26,Antetokounmpo  13,Antetokounmpo  7
"Sun, Dec 25",@ Boston ,L139-118  ,22-11,Antetokounmpo  27,Antetokounmpo  9,Holiday  7
"Wed, Dec 28",@ Chicago ,L119-113 OT ,22-12,Antetokounmpo  45,Antetokounmpo  22,Antetokounmpo  7
"Fri, Dec 30",vs Minnesota ,W123-114  ,23-12,Antetokounmpo  43,Antetokounmpo  20,Ingles  10
"Sun, Jan 1",vs Washington ,L118-95  ,23-13,Portis  19,Portis  10,Allen  8
"Tue, Jan 3",vs Washington ,W123-113  ,24-13,Antetokounmpo  55,Portis  13,Antetokounmpo  7
"Wed, Jan 4",@ Toronto ,W104-101 OT ,25-13,Antetokounmpo  30,Antetokounmpo  21,Antetokounmpo  10
"Fri, Jan 6",vs Charlotte ,L138-109  ,25-14,Portis  19,Portis  12,Holiday  4
"Mon, Jan 9",@ New York ,W111-107  ,26-14,Antetokounmpo  22,Connaughton  11,Holiday  9
"Wed, Jan 11",@ Atlanta ,W114-105  ,27-14,Holiday  27,Antetokounmpo  18,Antetokounmpo  10
"Thu, Jan 12",@ Miami ,L108-102  ,27-15,Holiday  24,Portis  7,Holiday  11
"Sat, Jan 14",@ Miami ,L111-95  ,27-16,Portis  15,Connaughton  8,Holiday  10
"Mon, Jan 16",vs Indiana ,W132-119  ,28-16,Holiday  35,Portis  11,Holiday  11
"Tue, Jan 17",vs Toronto ,W130-122  ,29-16,Holiday  37,Portis  12,Ingles  8
"Sat, Jan 21",@ Cleveland ,L114-102  ,29-17,Holiday  28,Portis  11,Holiday  10
"Mon, Jan 23",@ Detroit ,W150-130  ,30-17,Antetokounmpo  29,Antetokounmpo  12,Holiday  7
"Wed, Jan 25",vs Denver ,W107-99  ,31-17,Antetokounmpo  33,Antetokounmpo  14,Antetokounmpo  4
"Fri, Jan 27",@ Indiana ,W141-131  ,32-17,Antetokounmpo  41,Antetokounmpo  12,Holiday  9
"Sun, Jan 29",vs New Orleans ,W135-110  ,33-17,Antetokounmpo  50,Antetokounmpo  13,Holiday  6
"Tue, Jan 31",vs Charlotte ,W124-115  ,34-17,Antetokounmpo  34,Antetokounmpo  18,Antetokounmpo  4
"Thu, Feb 2",vs LA ,W106-105  ,35-17,Antetokounmpo  54,Antetokounmpo  19,Holiday  8
"Sat, Feb 4",vs Miami ,W123-115  ,36-17,Antetokounmpo  35,Antetokounmpo  15,Antetokounmpo  11
"Mon, Feb 6",@ Portland ,W127-108  ,37-17,Lopez  27,Antetokounmpo  13,Antetokounmpo  8
"Thu, Feb 9",@ Los Angeles ,W115-106  ,38-17,Antetokounmpo  38,Antetokounmpo  10,Holiday  7
"Fri, Feb 10",@ LA ,W119-106  ,39-17,Antetokounmpo  35,Lopez  15,Antetokounmpo  6
"Tue, Feb 14",vs Boston ,W131-125 OT ,40-17,Holiday  40,Antetokounmpo  13,Antetokounmpo  9
"Thu, Feb 16",@ Chicago ,W112-100  ,41-17,Lopez  33,Lopez  7,Holiday  9
"Fri, Feb 24",vs Miami ,W128-99  ,42-17,Holiday  24,Portis  11,Holiday  7
"Sun, Feb 26",vs Phoenix ,W104-101  ,43-17,Holiday  33,Lopez  13,Middleton  6
"Tue, Feb 28",@ Brooklyn ,W118-104  ,44-17,Antetokounmpo  33,Antetokounmpo  15,Holiday  8
"Wed, Mar 1",vs Orlando ,W139-117  ,45-17,Antetokounmpo  31,Antetokounmpo  7,Holiday  9
"Sat, Mar 4",vs Philadelphia ,L133-130  ,45-18,Antetokounmpo  34,Antetokounmpo  13,Holiday  13
"Sun, Mar 5",@ Washington ,W117-111  ,46-18,Antetokounmpo  23,Antetokounmpo  9,Antetokounmpo  13
"Tue, Mar 7",@ Orlando ,W134-123  ,47-18,Lopez  26,Portis  11,Middleton  11
"Thu, Mar 9",vs Brooklyn ,W118-113  ,48-18,Portis  28,Portis  13,Middleton  7
"Sat, Mar 11",@ Golden State ,L125-116 OT ,48-19,Lopez  19,Portis  13,Holiday  8
"Mon, Mar 13",@ Sacramento ,W133-124  ,49-19,Antetokounmpo  46,Antetokounmpo  12,Middleton  9
"Tue, Mar 14",@ Phoenix ,W116-104  ,50-19,Antetokounmpo  36,Antetokounmpo  11,Antetokounmpo  8
"Thu, Mar 16",vs Indiana ,L139-123  ,50-20,Antetokounmpo  25,Antetokounmpo  9,Holiday  11
"Sun, Mar 19",vs Toronto ,W118-111  ,51-20,Lopez  26,Antetokounmpo  12,Antetokounmpo  10
"Wed, Mar 22",vs San Antonio ,W130-94  ,52-20,Antetokounmpo  31,Antetokounmpo  14,Middleton  10
"Fri, Mar 24",@ Utah ,W144-116  ,53-20,Allen  25,Lopez  14,Antetokounmpo  11
"Sat, Mar 25",@ Denver ,L129-106  ,53-21,Antetokounmpo  31,Antetokounmpo  9,Holiday  7
"Mon, Mar 27",@ Detroit ,W126-117  ,54-21,Middleton  34,Lopez  14,Allen  7
"Wed, Mar 29",@ Indiana ,W149-136  ,55-21,Holiday  51,Antetokounmpo  17,Antetokounmpo  12
"Thu, Mar 30",vs Boston ,L140-99  ,55-22,Antetokounmpo  24,Portis  10,Middleton  4
"Sun, Apr 2",vs Philadelphia ,W117-104  ,56-22,Antetokounmpo  33,Antetokounmpo  14,Middleton  9
"Tue, Apr 4",@ Washington ,W140-128  ,57-22,Antetokounmpo  28,Portis  20,Antetokounmpo  10
"Wed, Apr 5",vs Chicago ,W105-92  ,58-24,Portis  27,Portis  13,Holiday  15
"Fri, Apr 7",vs Memphis ,L137-114  ,58-23,Wigginton  25,Antetokounmpo  8,Wigginton  11
"Sun, Apr 9",@ Toronto ,L121-105  ,58-24,Wigginton  17,Leonard  12,Crowder  6
