DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists
"Wed, Oct 19",@ Brooklyn ,W130-108  ,1-0,Ingram  28,Valanciunas  13,McCollum  6
"Fri, Oct 21",@ Charlotte ,W124-112  ,2-0,Valanciunas  30,Valanciunas  17,Ingram  7
"Sun, Oct 23",vs Utah ,L122-121 OT ,2-1,McCollum  28,Murphy III  9,McCollum  12
"Tue, Oct 25",vs Dallas ,W113-111  ,3-1,Murphy III  22,Valanciunas  7,McCollum  11
"Fri, Oct 28",@ Phoenix ,L124-111  ,3-2,Valanciunas  25,Valanciunas  10,McCollum  9
"Sun, Oct 30",@ LA ,W112-91  ,4-2,McCollum  22,Williamson  12,Williamson  7
"Wed, Nov 2",@ Los Angeles ,L120-117 OT ,4-3,Williamson  27,Valanciunas  10,McCollum  8
"Fri, Nov 4",vs Golden State ,W114-105  ,5-3,Ingram  26,McCollum  8,Ingram  5
"Sat, Nov 5",@ Atlanta ,L124-121 OT ,5-4,McCollum  29,Valanciunas  17,Ingram  7
"Mon, Nov 7",@ Indiana ,L129-122  ,5-5,Ingram  29,Williamson  7,Williamson  7
"Wed, Nov 9",@ Chicago ,W115-111  ,6-5,Ingram  22,Valanciunas  13,McCollum  5
"Thu, Nov 10",vs Portland ,L106-95  ,6-6,Williamson  29,Valanciunas  11,McCollum  7
"Sat, Nov 12",vs Houston ,W119-106  ,7-6,Williamson  26,Nance Jr.  9,McCollum  7
"Tue, Nov 15",vs Memphis ,W113-102  ,8-6,McCollum  30,Daniels  9,McCollum  9
"Wed, Nov 16",vs Chicago ,W124-110  ,9-6,McCollum  23,Murphy III  10,Ingram  9
"Fri, Nov 18",vs Boston ,L117-109  ,9-7,Ingram  25,Nance Jr.  8,Ingram  7
"Mon, Nov 21",vs Golden State ,W128-83  ,10-7,Ingram  34,Valanciunas  13,Marshall  7
"Wed, Nov 23",@ San Antonio ,W129-110  ,11-7,Williamson  32,Williamson  11,Ingram  10
"Fri, Nov 25",@ Memphis ,L132-111  ,11-8,Murphy III  21,Williamson  5,Daniels  6
"Mon, Nov 28",vs Oklahoma City ,W105-101  ,12-8,Williamson  23,Valanciunas  10,Williamson  8
"Wed, Nov 30",vs Toronto ,W126-108  ,13-8,Williamson  33,Valanciunas  13,Daniels  9
"Fri, Dec 2",@ San Antonio ,W117-99  ,14-8,Williamson  30,Williamson  15,Williamson  8
"Sun, Dec 4",vs Denver ,W121-106  ,15-8,Alvarado  38,Hernangomez  8,McCollum  6
"Wed, Dec 7",vs Detroit ,W104-98  ,16-8,Williamson  29,Valanciunas  12,Williamson  5
"Fri, Dec 9",vs Phoenix ,W128-117  ,17-8,Williamson  35,Valanciunas  10,McCollum  5
"Sun, Dec 11",vs Phoenix ,W129-124 OT ,18-8,Williamson  35,Valanciunas  10,Daniels  8
"Tue, Dec 13",@ Utah ,L121-100  ,18-9,Williamson  26,Williamson  9,Williamson  5
"Thu, Dec 15",@ Utah ,L132-129 OT ,18-10,Williamson  31,Nance Jr.  9,Williamson  8
"Sat, Dec 17",@ Phoenix ,L118-114  ,18-11,Williamson  30,Valanciunas  8,Williamson  9
"Mon, Dec 19",vs Milwaukee ,L128-119  ,18-12,Valanciunas  37,Valanciunas  18,McCollum  9
"Thu, Dec 22",vs San Antonio ,W126-117  ,19-12,McCollum  40,Valanciunas  10,McCollum  9
"Fri, Dec 23",@ Oklahoma City ,W128-125 OT ,20-12,Murphy III  23,Marshall  8,McCollum  11
"Mon, Dec 26",vs Indiana ,W113-93  ,21-12,Marshall  22,Valanciunas  12,McCollum  6
"Wed, Dec 28",vs Minnesota ,W119-118  ,22-12,Williamson  43,Valanciunas  11,McCollum  6
"Fri, Dec 30",vs Philadelphia ,W127-116  ,23-12,McCollum  42,Valanciunas  9,McCollum  5
"Sat, Dec 31",@ Memphis ,L116-101  ,23-13,Williamson  20,Jones  11,Marshall  4
"Mon, Jan 2",@ Philadelphia ,L120-111  ,23-14,Williamson  26,Valanciunas  12,Williamson  7
"Wed, Jan 4",vs Houston ,W119-108  ,24-14,McCollum  28,Valanciunas  17,McCollum  6
"Fri, Jan 6",vs Brooklyn ,L108-102  ,24-15,McCollum  28,Valanciunas  10,McCollum  6
"Sat, Jan 7",@ Dallas ,L127-117  ,24-16,Valanciunas  25,Valanciunas  10,Alvarado  7
"Mon, Jan 9",@ Washington ,W132-112  ,25-16,McCollum  34,Valanciunas  12,Graham  6
"Wed, Jan 11",@ Boston ,L125-114  ,25-17,McCollum  38,Marshall  7,McCollum  4
"Fri, Jan 13",@ Detroit ,W116-110  ,26-17,Valanciunas  33,Valanciunas  16,McCollum  9
"Mon, Jan 16",@ Cleveland ,L113-103  ,26-18,McCollum  25,Valanciunas  13,Alvarado  5
"Wed, Jan 18",vs Miami ,L124-98  ,26-19,McCollum  21,Valanciunas  10,Nance Jr.  6
"Fri, Jan 20",@ Orlando ,L123-110  ,26-20,McCollum  23,Valanciunas  10,Daniels  8
"Sun, Jan 22",@ Miami ,L100-96  ,26-21,Murphy III  17,Valanciunas  16,Daniels  6
"Tue, Jan 24",vs Denver ,L99-98  ,26-22,McCollum  20,Valanciunas  9,McCollum  4
"Wed, Jan 25",vs Minnesota ,L111-102  ,26-23,McCollum  25,Valanciunas  12,McCollum  8
"Sat, Jan 28",vs Washington ,L113-103  ,26-24,McCollum  24,Nance Jr.  8,McCollum  5
"Sun, Jan 29",@ Milwaukee ,L135-110  ,26-25,Alvarado  18,Nance Jr.  12,Alvarado  6
"Tue, Jan 31",@ Denver ,L122-113  ,26-26,Jones  21,Nance Jr.  11,Ingram  9
"Thu, Feb 2",@ Dallas ,L111-106  ,26-27,Ingram  26,Valanciunas  13,McCollum  8
"Sat, Feb 4",vs Los Angeles ,W131-126  ,27-27,Ingram  35,Valanciunas  14,McCollum  7
"Sun, Feb 5",vs Sacramento ,W136-104  ,28-27,Murphy III  30,Hernangomez  16,McCollum  4
"Tue, Feb 7",vs Atlanta ,W116-107  ,29-27,Ingram  30,Valanciunas  14,Ingram  8
"Fri, Feb 10",vs Cleveland ,L118-107  ,29-28,Ingram  25,Valanciunas  7,Ingram  8
