DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists
"Wed, Oct 19",@ Memphis ,L115-112 OT ,0-1,Randle  24,Randle  11,Brunson  9
"Fri, Oct 21",vs Detroit ,W130-106  ,1-1,Quickley  20,Hartenstein  11,Quickley  7
"Mon, Oct 24",vs Orlando ,W115-102  ,2-1,Randle  25,Randle  12,Quickley  8
"Wed, Oct 26",vs Charlotte ,W134-131 OT ,3-1,Brunson  27,Barrett  8,Brunson  13
"Fri, Oct 28",@ Milwaukee ,L119-108  ,3-2,Barrett  20,Randle  12,Rose  4
"Sun, Oct 30",@ Cleveland ,L121-108  ,3-3,Brunson  16,Randle  9,Brunson  7
"Wed, Nov 2",vs Atlanta ,L112-99  ,3-4,Brunson  20,Quickley  16,Brunson  5
"Fri, Nov 4",@ Philadelphia ,W106-104  ,4-4,Brunson  23,Randle  10,Brunson  7
"Sat, Nov 5",vs Boston ,L133-118  ,4-5,Randle  29,Hartenstein  14,Brunson  10
"Mon, Nov 7",@ Minnesota ,W120-107  ,5-5,Randle  31,Randle  8,Brunson  8
"Wed, Nov 9",@ Brooklyn ,L112-85  ,5-6,Randle  24,Randle  11,Quickley  4
"Fri, Nov 11",vs Detroit ,W121-112  ,6-6,Barrett  30,Hartenstein  12,Brunson  7
"Sun, Nov 13",vs Oklahoma City ,L145-135  ,6-7,Reddish  26,Randle  10,Brunson  7
"Tue, Nov 15",@ Utah ,W118-111  ,7-7,Brunson  25,Sims  13,Brunson  8
"Wed, Nov 16",@ Denver ,W106-103  ,8-7,Randle  34,Randle  11,Brunson  7
"Fri, Nov 18",@ Golden State ,L111-101  ,8-8,Randle  20,Sims  10,Barrett  5
"Sun, Nov 20",@ Phoenix ,L116-95  ,8-9,Brunson  27,Randle  6,Grimes  8
"Mon, Nov 21",@ Oklahoma City ,W129-119  ,9-9,Brunson  34,Randle  11,Brunson  9
"Fri, Nov 25",vs Portland ,L132-129 OT ,9-10,Brunson  32,Barrett  10,Barrett  5
"Sun, Nov 27",vs Memphis ,L127-123  ,9-11,Brunson  30,Randle  10,Brunson  9
"Tue, Nov 29",@ Detroit ,W140-110  ,10-11,Randle  36,Robinson  13,Randle  5
"Wed, Nov 30",vs Milwaukee ,L109-103  ,10-12,Barrett  26,Robinson  20,Randle  5
"Sat, Dec 3",vs Dallas ,L121-100  ,10-13,Randle  24,Toppin  7,Randle  3
"Sun, Dec 4",vs Cleveland ,W92-81  ,11-13,Brunson  23,Robinson  11,Brunson  4
"Wed, Dec 7",vs Atlanta ,W113-89  ,12-13,Randle  34,Randle  17,Brunson  6
"Fri, Dec 9",@ Charlotte ,W121-102  ,13-13,Randle  33,Robinson  13,Brunson  11
"Sun, Dec 11",vs Sacramento ,W112-99  ,14-13,Barrett  27,Barrett  9,Barrett  6
"Wed, Dec 14",@ Chicago ,W128-120 OT ,15-13,Randle  31,Randle  13,Randle  7
"Fri, Dec 16",@ Chicago ,W114-91  ,16-13,Barrett  27,Randle  12,Brunson  6
"Sun, Dec 18",@ Indiana ,W109-106  ,17-13,Brunson  30,Randle  14,Brunson  3
"Tue, Dec 20",vs Golden State ,W132-94  ,18-13,Quickley  22,Randle  12,Brunson  5
"Wed, Dec 21",vs Toronto ,L113-106  ,18-14,Randle  30,Randle  13,Brunson  12
"Fri, Dec 23",vs Chicago ,L118-117  ,18-15,Barrett  44,Randle  12,Brunson  9
"Sun, Dec 25",vs Philadelphia ,L119-112  ,18-16,Randle  35,Robinson  16,Brunson  11
"Tue, Dec 27",@ Dallas ,L126-121 OT ,18-17,Grimes  33,Randle  18,Quickley  15
"Thu, Dec 29",@ San Antonio ,L122-115  ,18-18,Randle  41,Randle  11,Randle  7
"Sat, Dec 31",@ Houston ,W108-88  ,19-18,Randle  35,Randle  12,Quickley  7
"Mon, Jan 2",vs Phoenix ,W102-83  ,20-18,Randle  28,Randle  16,Randle  6
"Wed, Jan 4",vs San Antonio ,W117-114  ,21-18,Brunson  38,Randle  13,Brunson  6
"Fri, Jan 6",@ Toronto ,W112-108  ,22-18,Randle  32,Robinson  18,Brunson  8
"Mon, Jan 9",vs Milwaukee ,L111-107  ,22-19,Brunson  44,Randle  16,Randle  5
"Wed, Jan 11",vs Indiana ,W119-113  ,23-19,Brunson  34,Randle  16,Brunson  4
"Fri, Jan 13",@ Washington ,W112-108  ,24-19,Brunson  34,Randle  16,Brunson  8
"Sun, Jan 15",@ Detroit ,W117-104  ,25-19,Randle  42,Randle  15,Randle  4
"Mon, Jan 16",vs Toronto ,L123-121 OT ,25-20,Barrett  32,Randle  15,Randle  8
"Wed, Jan 18",vs Washington ,L116-105  ,25-21,Brunson  32,Randle  15,Brunson  4
"Fri, Jan 20",@ Atlanta ,L139-124  ,25-22,Randle  32,Randle  9,Brunson  9
"Sun, Jan 22",@ Toronto ,L125-116  ,25-23,Barrett  30,Randle  19,Randle  8
"Tue, Jan 24",vs Cleveland ,W105-103  ,26-23,Randle  36,Randle  13,Quickley  6
"Thu, Jan 26",@ Boston ,W120-117 OT ,27-23,Randle  37,Sims  14,Brunson  7
"Sat, Jan 28",@ Brooklyn ,L122-115  ,27-24,Brunson  26,Randle  10,Randle  8
"Tue, Jan 31",vs Los Angeles ,L129-123 OT ,27-25,Brunson  37,Hartenstein  13,Quickley  8
"Thu, Feb 2",vs Miami ,W106-104  ,28-25,Barrett  30,Randle  10,Randle  6
"Sat, Feb 4",vs LA ,L134-128 OT ,28-26,Brunson  41,Randle  11,Brunson  7
"Sun, Feb 5",vs Philadelphia ,W108-97  ,29-26,Randle  24,Hartenstein  14,Randle  7
"Tue, Feb 7",@ Orlando ,W102-98  ,30-26,Brunson  25,Randle  14,Randle  6
"Fri, Feb 10",@ Philadelphia ,L119-108  ,30-27,Randle  30,Randle  10,Brunson  9
"Sat, Feb 11",vs Utah ,W126-120  ,31-27,Brunson  38,Hartenstein  14,Brunson  5
"Mon, Feb 13",vs Brooklyn ,W124-106  ,32-27,Brunson  40,Randle  10,Brunson  5
"Wed, Feb 15",@ Atlanta ,W122-101  ,33-27,Brunson  28,Randle  11,Brunson  5
"Fri, Feb 24",@ Washington ,W115-109  ,34-27,Randle  46,Robinson  12,Brunson  9
"Sat, Feb 25",vs New Orleans ,W128-106  ,35-27,Randle  28,Robinson  13,Barrett  7
"Mon, Feb 27",vs Boston ,W109-94  ,36-27,Randle  23,Robinson  13,Hart  5
"Wed, Mar 1",vs Brooklyn ,W142-118  ,37-27,Brunson  39,Robinson  10,Randle  8
"Fri, Mar 3",@ Miami ,W122-120  ,38-27,Randle  43,Randle  9,Brunson  8
"Sun, Mar 5",@ Boston ,W131-129 2OT ,39-27,Quickley  38,Robinson  14,Quickley  7
"Tue, Mar 7",vs Charlotte ,L112-105  ,39-28,Barrett  27,Randle  8,Quickley  5
"Thu, Mar 9",@ Sacramento ,L122-117  ,39-29,Barrett  25,Hart  15,Hart  7
"Sat, Mar 11",@ LA ,L106-95  ,39-30,Quickley  26,Robinson  14,Quickley  4
"Sun, Mar 12",@ Los Angeles ,W112-108  ,40-30,Randle  33,Hartenstein  11,Randle  5
"Tue, Mar 14",@ Portland ,W123-107  ,41-30,Quickley  26,Hartenstein  11,Hart  8
"Sat, Mar 18",vs Denver ,W116-110  ,42-30,Brunson  24,Robinson  9,Brunson  5
"Mon, Mar 20",vs Minnesota ,L140-134  ,42-31,Randle  57,Robinson  9,Brunson  10
"Wed, Mar 22",@ Miami ,L127-120  ,42-32,Barrett  26,Robinson  8,Randle  9
"Thu, Mar 23",@ Orlando ,L111-106  ,42-33,Quickley  25,Robinson  12,Quickley  7
"Mon, Mar 27",vs Houston ,W137-115  ,43-33,Quickley  40,Grimes  9,Quickley  9
"Wed, Mar 29",vs Miami ,W101-92  ,44-33,Quickley  24,Hartenstein  9,Quickley  4
"Fri, Mar 31",@ Cleveland ,W130-116  ,45-33,Brunson  48,Robinson  14,Brunson  9
"Sun, Apr 2",vs Washington ,W118-109  ,46-33,Brunson  27,Robinson  11,Brunson  8
"Wed, Apr 5",@ Indiana ,W138-129  ,47-33,Quickley  39,Robinson  16,Quickley  9
"Fri, Apr 7",@ New Orleans ,L113-105  ,47-34,Barrett  28,Sims  8,Barrett  6
"Sun, Apr 9",vs Indiana ,L141-136  ,47-35,Toppin  34,Robinson  20,Quickley  7
