DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists
"Wed, Oct 19",@ Minnesota ,L115-108  ,0-1,Gilgeous-Alexander  32,Giddey  11,Gilgeous-Alexander  5
"Sat, Oct 22",@ Denver ,L122-117  ,0-2,Gilgeous-Alexander  28,Giddey  12,Gilgeous-Alexander  7
"Sun, Oct 23",vs Minnesota ,L116-106  ,0-3,Dort  20,Muscala  9,Giddey  5
"Tue, Oct 25",vs LA ,W108-94  ,1-3,Gilgeous-Alexander  33,Wiggins  10,Gilgeous-Alexander  8
"Thu, Oct 27",vs LA ,W118-110  ,2-3,Gilgeous-Alexander  24,Bazley  9,Gilgeous-Alexander  6
"Sat, Oct 29",@ Dallas ,W117-111 OT ,3-3,Gilgeous-Alexander  38,Bazley  8,Gilgeous-Alexander  9
"Tue, Nov 1",vs Orlando ,W116-108  ,4-3,Gilgeous-Alexander  34,Pokusevski  9,Giddey  10
"Thu, Nov 3",vs Denver ,L122-110  ,4-4,Gilgeous-Alexander  37,Robinson-Earl  7,Giddey  5
"Sat, Nov 5",@ Milwaukee ,L108-94  ,4-5,Gilgeous-Alexander  18,Giddey  6,Dort  7
"Mon, Nov 7",@ Detroit ,L112-103  ,4-6,Gilgeous-Alexander  33,Williams  8,Gilgeous-Alexander  5
"Wed, Nov 9",vs Milwaukee ,L136-132 2OT ,4-7,Gilgeous-Alexander  39,Giddey  15,Giddey  6
"Fri, Nov 11",vs Toronto ,W132-113  ,5-7,Omoruyi  22,Giddey  9,Williams  11
"Sun, Nov 13",@ New York ,W145-135  ,6-7,Gilgeous-Alexander  37,Giddey  10,Giddey  12
"Mon, Nov 14",@ Boston ,L126-122  ,6-8,Gilgeous-Alexander  37,Pokusevski  14,Gilgeous-Alexander  8
"Wed, Nov 16",@ Washington ,W121-120  ,7-8,Gilgeous-Alexander  42,Gilgeous-Alexander  6,Gilgeous-Alexander  7
"Fri, Nov 18",@ Memphis ,L121-110  ,7-9,Giddey  20,Robinson-Earl  7,Giddey  11
"Mon, Nov 21",vs New York ,L129-119  ,7-10,Gilgeous-Alexander  30,Giddey  9,Gilgeous-Alexander  7
"Wed, Nov 23",vs Denver ,L131-126 OT ,7-11,Gilgeous-Alexander  31,Robinson-Earl  11,Gilgeous-Alexander  11
