DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists
"Wed, Oct 19",@ Detroit ,L113-109  ,0-1,Banchero  27,Carter Jr.  11,Banchero  5
"Fri, Oct 21",@ Atlanta ,L108-98  ,0-2,Anthony  25,Banchero  12,Wagner  3
"Sat, Oct 22",vs Boston ,L126-120  ,0-3,Ross  29,Carter Jr.  12,Anthony  6
"Mon, Oct 24",@ New York ,L115-102  ,0-4,Banchero  21,Carter Jr.  11,Wagner  5
"Wed, Oct 26",@ Cleveland ,L103-92  ,0-5,Banchero  29,Bol  10,Wagner  5
"Fri, Oct 28",vs Charlotte ,W113-93  ,1-5,Banchero  21,Banchero  12,Banchero  7
"Sun, Oct 30",@ Dallas ,L114-105  ,1-6,Banchero  18,Bol  11,Banchero  4
"Tue, Nov 1",@ Oklahoma City ,L116-108  ,1-7,Carter Jr.  30,Carter Jr.  12,Wagner  7
"Thu, Nov 3",vs Golden State ,W130-129  ,2-7,Suggs  26,Okeke  9,Suggs  9
"Sat, Nov 5",vs Sacramento ,L126-123 OT ,2-8,Banchero  33,Banchero  16,Suggs  7
"Mon, Nov 7",vs Houston ,L134-127  ,2-9,Banchero  30,Carter Jr.  7,Wagner  7
"Wed, Nov 9",vs Dallas ,W94-87  ,3-9,Wagner  22,Carter Jr.  12,Wagner  6
"Fri, Nov 11",vs Phoenix ,W114-97  ,4-9,Carter Jr.  20,Bol  15,Carter Jr.  5
"Mon, Nov 14",vs Charlotte ,L112-105  ,4-10,Wagner  23,Bamba  10,Suggs  7
"Wed, Nov 16",vs Minnesota ,L126-108  ,4-11,Bol  26,Bol  12,Suggs  6
"Fri, Nov 18",@ Chicago ,W108-107  ,5-11,Carter Jr.  21,Bol  10,Suggs  8
"Sat, Nov 19",@ Indiana ,L114-113  ,5-12,Wagner  29,Bol  11,Suggs  8
"Mon, Nov 21",@ Indiana ,L123-102  ,5-13,Wagner  20,Bol  9,Hampton  5
"Fri, Nov 25",vs Philadelphia ,L107-99  ,5-14,Wagner  24,Bol  8,Bamba  4
"Sun, Nov 27",vs Philadelphia ,L133-103  ,5-15,Banchero  18,Wagner  6,Harris  5
"Mon, Nov 28",@ Brooklyn ,L109-102  ,5-16,Bol  24,Houstan  7,Banchero  5
"Wed, Nov 30",vs Atlanta ,L125-108  ,5-17,Wagner  22,Wagner  6,Wagner  8
"Fri, Dec 2",@ Cleveland ,L107-96  ,5-18,Banchero  22,Wagner  9,Fultz  6
"Sat, Dec 3",@ Toronto ,L121-108  ,5-19,Bol  18,Bol  7,Anthony  5
"Mon, Dec 5",vs Milwaukee ,L109-102  ,5-20,Wagner  25,Banchero  12,Banchero  7
"Wed, Dec 7",vs LA ,W116-111 OT ,6-20,Banchero  23,Wagner  13,Anthony  4
"Fri, Dec 9",vs Toronto ,W113-109  ,7-20,Wagner  34,Bamba  13,Anthony  5
"Sun, Dec 11",vs Toronto ,W111-99  ,8-20,Wagner  23,Banchero  12,Anthony  6
"Wed, Dec 14",vs Atlanta ,W135-124  ,9-20,Wagner  24,Bol  7,Fultz  9
"Fri, Dec 16",@ Boston ,W117-109  ,10-20,Wagner  25,Bamba  12,Banchero  5
"Sun, Dec 18",@ Boston ,W95-92  ,11-20,Banchero  31,Bol  8,Fultz  5
"Mon, Dec 19",@ Atlanta ,L126-125  ,11-21,Fultz  24,Wagner  10,Fultz  9
"Wed, Dec 21",@ Houston ,W116-110  ,12-21,Wagner  25,Banchero  13,Anthony  6
"Fri, Dec 23",vs San Antonio ,W133-113  ,13-21,Anthony  23,Anthony  10,Anthony  9
"Tue, Dec 27",vs Los Angeles ,L129-110  ,13-22,Fultz  16,Bol  5,Carter Jr.  4
"Wed, Dec 28",@ Detroit ,L121-101  ,13-23,Wagner  19,Carter Jr.  8,Fultz  9
"Fri, Dec 30",vs Washington ,L119-100  ,13-24,Wagner  28,Bol  9,Wagner  8
"Wed, Jan 4",vs Oklahoma City ,W126-115  ,14-24,Banchero  25,Carter Jr.  13,Banchero  7
"Thu, Jan 5",vs Memphis ,L123-115  ,14-25,Banchero  30,Banchero  9,Fultz  9
"Sat, Jan 7",@ Golden State ,W115-101  ,15-25,Banchero  25,Carter Jr.  10,Fultz  7
"Mon, Jan 9",@ Sacramento ,L136-111  ,15-26,Banchero  17,Banchero  8,Fultz  5
"Tue, Jan 10",@ Portland ,W109-106  ,16-26,Wagner  29,Carter Jr.  10,Fultz  7
"Fri, Jan 13",@ Utah ,L112-108  ,16-27,Wagner  26,Carter Jr.  10,Fultz  6
"Sun, Jan 15",@ Denver ,L119-116  ,16-28,Fultz  20,Fultz  7,Fultz  6
"Fri, Jan 20",vs New Orleans ,W123-110  ,17-28,Wagner  30,Carter Jr.  9,Wagner  9
"Sat, Jan 21",@ Washington ,L138-118  ,17-29,Fultz  23,Carter Jr.  9,Fultz  8
"Mon, Jan 23",vs Boston ,W113-98  ,18-29,Banchero  23,Carter Jr.  11,Wagner  6
"Wed, Jan 25",vs Indiana ,W126-120  ,19-29,Banchero  23,Carter Jr.  10,Fultz  8
"Fri, Jan 27",@ Miami ,L110-105  ,19-30,Anthony  19,Carter Jr.  8,Fultz  6
"Sat, Jan 28",vs Chicago ,L128-109  ,19-31,Wagner  27,Banchero  7,Anthony  6
"Mon, Jan 30",@ Philadelphia ,W119-109  ,20-31,Banchero  29,Banchero  9,Fultz  10
"Wed, Feb 1",@ Philadelphia ,L105-94  ,20-32,Fultz  18,Carter Jr.  13,Banchero  3
"Fri, Feb 3",@ Minnesota ,W127-120  ,21-32,Anthony  20,Anthony  8,Anthony  6
"Sun, Feb 5",@ Charlotte ,W119-113  ,22-32,Banchero  22,Carter Jr.  12,Banchero  5
"Tue, Feb 7",vs New York ,L102-98  ,22-33,Fultz  21,Banchero  8,Fultz  6
"Thu, Feb 9",vs Denver ,W115-104  ,23-33,Carter Jr.  19,Banchero  10,Anthony  7
"Sat, Feb 11",vs Miami ,L107-103 OT ,23-34,Fultz  17,Banchero  13,Anthony  6
"Mon, Feb 13",@ Chicago ,W100-91  ,24-34,Banchero  22,Fultz  10,Fultz  9
"Tue, Feb 14",@ Toronto ,L123-113  ,24-35,Carter Jr.  26,Bol  7,Wagner  6
"Thu, Feb 23",vs Detroit ,W108-106  ,25-35,Wagner  21,Carter Jr.  14,Fultz  8
"Sat, Feb 25",vs Indiana ,L121-108  ,25-36,Wagner  21,Carter Jr.  11,Anthony  5
"Mon, Feb 27",@ New Orleans ,W101-93  ,26-36,Banchero  29,Carter Jr.  11,Fultz  5
"Wed, Mar 1",@ Milwaukee ,L139-117  ,26-37,Anthony  28,Carter Jr.  10,Fultz  5
"Fri, Mar 3",@ Charlotte ,W117-106  ,27-37,Banchero  31,Carter Jr.  9,Banchero  5
"Sun, Mar 5",vs Portland ,L122-119  ,27-38,Banchero  26,Bol  8,Fultz  8
"Tue, Mar 7",vs Milwaukee ,L134-123  ,27-39,Anthony  23,Wagner  8,Wagner  6
"Thu, Mar 9",vs Utah ,L131-124  ,27-40,Banchero  26,Banchero  8,Fultz  6
"Sat, Mar 11",vs Miami ,W126-114 OT ,28-40,Carter Jr.  27,Carter Jr.  11,Banchero  9
"Tue, Mar 14",@ San Antonio ,L132-114  ,28-41,Banchero  27,Carter Jr.  10,Fultz  6
"Thu, Mar 16",@ Phoenix ,L116-113  ,28-42,Fultz  25,Wagner  10,Fultz  9
"Sat, Mar 18",@ LA ,W113-108  ,29-42,Fultz  28,Carter Jr.  12,Banchero  6
"Sun, Mar 19",@ Los Angeles ,L111-105  ,29-43,Wagner  21,Carter Jr.  11,Fultz  10
"Tue, Mar 21",vs Washington ,W122-112  ,30-43,Harris  22,Banchero  9,Banchero  8
"Thu, Mar 23",vs New York ,W111-106  ,31-43,Banchero  21,Carter Jr.  8,Fultz  8
"Sun, Mar 26",vs Brooklyn ,W119-106  ,32-43,Anthony  21,Wagner  10,Fultz  9
"Tue, Mar 28",@ Memphis ,L113-108  ,32-44,Wagner  25,Banchero  11,Banchero  5
"Fri, Mar 31",@ Washington ,W116-109  ,33-44,Banchero  30,Banchero  12,Banchero  6
"Sun, Apr 2",vs Detroit ,W128-102  ,34-44,Suggs  18,Banchero  9,Wagner  8
"Tue, Apr 4",vs Cleveland ,L117-113  ,34-45,Fultz  23,Carter Jr.  12,Fultz  8
"Thu, Apr 6",vs Cleveland ,L118-94  ,34-46,Suggs  22,Bol  8,Suggs  4
"Fri, Apr 7",@ Brooklyn ,L101-84  ,34-47,Anthony  14,Bitadze  15,Anthony  6
"Sun, Apr 9",@ Miami ,L123-110  ,34-48,Harris  22,Harris  8,Okeke  5
