DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists
"Tue, Oct 18",@ Boston ,L126-117  ,0-1,Harden  35,Embiid  15,Harden  7
"Thu, Oct 20",vs Milwaukee ,L90-88  ,0-2,Harden  31,Embiid  12,Harden  9
"Sat, Oct 22",vs San Antonio ,L114-105  ,0-3,Embiid  40,Embiid  13,Harden  12
"Mon, Oct 24",vs Indiana ,W120-106  ,1-3,Harden  29,Harden  9,Harden  11
"Wed, Oct 26",@ Toronto ,L119-109  ,1-4,Maxey  31,Harris  8,Harden  9
"Fri, Oct 28",@ Toronto ,W112-90  ,2-4,Maxey  44,Maxey  8,Melton  6
"Sat, Oct 29",@ Chicago ,W114-109  ,3-4,Embiid  25,Embiid  7,Harden  11
"Mon, Oct 31",@ Washington ,W118-111  ,4-4,Maxey  28,Harden  7,Harden  17
"Wed, Nov 2",vs Washington ,L121-111  ,4-5,Maxey  32,Harris  9,Harden  10
"Fri, Nov 4",vs New York ,L106-104  ,4-6,Maxey  31,Harris  9,Melton  9
"Mon, Nov 7",vs Phoenix ,W100-88  ,5-6,Embiid  33,Embiid  10,Harris  6
"Thu, Nov 10",@ Atlanta ,L104-95  ,5-7,Embiid  26,Embiid  13,Maxey  5
"Sat, Nov 12",vs Atlanta ,W121-109  ,6-7,Embiid  42,Embiid  10,Maxey  9
"Sun, Nov 13",vs Utah ,W105-98  ,7-7,Embiid  59,Embiid  11,Embiid  8
"Fri, Nov 18",vs Milwaukee ,W110-102  ,8-7,Embiid  32,Embiid  11,Embiid  8
"Sat, Nov 19",vs Minnesota ,L112-109  ,8-8,Embiid  32,Embiid  9,Embiid  6
"Tue, Nov 22",vs Brooklyn ,W115-106  ,9-8,Harris  24,Reed  10,Milton  5
"Wed, Nov 23",@ Charlotte ,L107-101  ,9-9,Milton  22,Reed  8,Milton  9
"Fri, Nov 25",@ Orlando ,W107-99  ,10-9,Milton  24,Harris  10,Milton  10
