DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists
"Wed, Oct 19",vs Dallas ,W107-105  ,1-0,Booker  28,Bridges  11,Booker  9
"Fri, Oct 21",@ Portland ,L113-111 OT ,1-1,Booker  33,Bridges  7,Paul  12
"Sun, Oct 23",@ LA ,W112-95  ,2-1,Booker  35,Landale  10,Paul  11
"Tue, Oct 25",vs Golden State ,W134-105  ,3-1,Booker  34,Ayton  14,Paul  9
"Fri, Oct 28",vs New Orleans ,W124-111  ,4-1,Bridges  27,Biyombo  13,Paul  9
"Sun, Oct 30",vs Houston ,W124-109  ,5-1,Booker  30,Johnson  7,Paul  15
"Tue, Nov 1",vs Minnesota ,W116-107  ,6-1,Johnson  29,Paul  8,Paul  12
"Fri, Nov 4",vs Portland ,L108-106  ,6-2,Booker  25,Ayton  8,Paul  11
"Sat, Nov 5",vs Portland ,W102-82  ,7-2,Booker  24,Saric  9,Paul  4
"Mon, Nov 7",@ Philadelphia ,L100-88  ,7-3,Booker  28,Booker  7,Booker  5
"Wed, Nov 9",@ Minnesota ,W129-117  ,8-3,Booker  32,Bridges  9,Booker  10
"Fri, Nov 11",@ Orlando ,L114-97  ,8-4,Payne  22,Booker  8,Booker  6
"Mon, Nov 14",@ Miami ,L113-112  ,8-5,Booker  25,Ayton  12,Booker  5
"Wed, Nov 16",vs Golden State ,W130-119  ,9-5,Payne  29,Craig  10,Booker  9
"Fri, Nov 18",@ Utah ,L134-133  ,9-6,Booker  49,Ayton  10,Booker  10
"Sun, Nov 20",vs New York ,W116-95  ,10-6,Payne  21,Ayton  11,Payne  9
"Tue, Nov 22",vs Los Angeles ,W115-105  ,11-6,Bridges  25,Ayton  15,Payne  7
"Fri, Nov 25",vs Detroit ,W108-102  ,12-6,Ayton  28,Ayton  12,Payne  10
"Sat, Nov 26",vs Utah ,W113-112  ,13-6,Ayton  29,Ayton  21,Booker  7
"Mon, Nov 28",@ Sacramento ,W122-117  ,14-6,Booker  44,Ayton  12,Bridges  7
"Wed, Nov 30",vs Chicago ,W132-113  ,15-6,Booker  51,Ayton  14,Booker  6
