DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists
"Wed, Oct 19",@ Sacramento ,W115-108  ,1-0,Grant  23,Grant  8,Lillard  8
"Fri, Oct 21",vs Phoenix ,W113-111 OT ,2-0,Lillard  41,Nurkic  17,Lillard  3
"Sun, Oct 23",@ Los Angeles ,W106-104  ,3-0,Lillard  41,Hart  16,Hart  5
"Mon, Oct 24",vs Denver ,W135-110  ,4-0,Lillard  31,Nurkic  12,Lillard  8
"Wed, Oct 26",vs Miami ,L119-98  ,4-1,Lillard  22,Nurkic  9,Hart  6
"Fri, Oct 28",vs Houston ,W125-111  ,5-1,Simons  30,Nurkic  15,Simons  7
"Wed, Nov 2",vs Memphis ,L111-106  ,5-2,Simons  31,Nurkic  13,Simons  8
"Fri, Nov 4",@ Phoenix ,W108-106  ,6-2,Grant  30,Winslow  9,Winslow  9
"Sat, Nov 5",@ Phoenix ,L102-82  ,6-3,Grant  14,Nurkic  7,Hart  8
"Mon, Nov 7",@ Miami ,W110-107  ,7-3,Simons  25,Nurkic  11,Hart  8
"Wed, Nov 9",@ Charlotte ,W105-95  ,8-3,Lillard  26,Hart  11,Lillard  7
"Thu, Nov 10",@ New Orleans ,W106-95  ,9-3,Grant  27,Grant  8,Simons  6
"Sat, Nov 12",@ Dallas ,L117-112  ,9-4,Grant  37,Hart  9,Lillard  12
"Tue, Nov 15",vs San Antonio ,W117-110  ,10-4,Grant  29,Grant  8,Lillard  11
"Thu, Nov 17",vs Brooklyn ,L109-107  ,10-5,Lillard  25,Nurkic  8,Lillard  11
"Sat, Nov 19",vs Utah ,L118-113  ,10-6,Simons  23,Simons  8,Simons  7
"Mon, Nov 21",@ Milwaukee ,L119-111  ,10-7,Simons  29,Nurkic  10,Simons  5
"Wed, Nov 23",@ Cleveland ,L114-96  ,10-8,Nurkic  22,Nurkic  6,Hart  9
"Fri, Nov 25",@ New York ,W132-129 OT ,11-8,Grant  44,Hart  19,Nurkic  7
"Sun, Nov 27",@ Brooklyn ,L111-97  ,11-9,Grant  29,Nurkic  14,Simons  6
"Tue, Nov 29",vs LA ,L118-112  ,11-10,Simons  37,Winslow  13,Nurkic  7
"Wed, Nov 30",@ Los Angeles ,L128-109  ,11-11,Grant  27,Watford  10,Simons  8
"Sat, Dec 3",@ Utah ,W116-111  ,12-11,Simons  45,Nurkic  14,Grant  5
"Sun, Dec 4",vs Indiana ,W116-100  ,13-11,Grant  28,Hart  10,Simons  6
"Thu, Dec 8",vs Denver ,L121-120  ,13-12,Lillard  40,Nurkic  9,Lillard  12
"Sat, Dec 10",vs Minnesota ,W124-118  ,14-12,Lillard  36,Nurkic  15,Lillard  8
"Mon, Dec 12",vs Minnesota ,W133-112  ,15-12,Lillard  38,Nurkic  16,Winslow  10
"Wed, Dec 14",@ San Antonio ,W128-112  ,16-12,Lillard  37,Hart  10,Lillard  8
"Fri, Dec 16",@ Dallas ,L130-110  ,16-13,Lillard  24,Watford  11,Watford  6
"Sat, Dec 17",@ Houston ,W107-95  ,17-13,Simons  32,Hart  13,Lillard  10
"Mon, Dec 19",@ Oklahoma City ,L123-121  ,17-14,Lillard  28,Grant  8,Lillard  6
"Wed, Dec 21",@ Oklahoma City ,L101-98  ,17-15,Grant  17,Watford  7,Lillard  8
"Fri, Dec 23",@ Denver ,L120-107  ,17-16,Lillard  34,Hart  11,Lillard  8
"Mon, Dec 26",vs Charlotte ,W124-113  ,18-16,Grant  32,Nurkic  15,Lillard  9
"Fri, Dec 30",@ Golden State ,L118-112  ,18-17,Lillard  34,Hart  11,Hart  7
"Mon, Jan 2",vs Detroit ,W135-106  ,19-17,Grant  36,Eubanks  10,Lillard  10
"Wed, Jan 4",@ Minnesota ,L113-106  ,19-18,Lillard  27,Nurkic  8,Lillard  6
"Fri, Jan 6",@ Indiana ,L108-99  ,19-19,Simons  20,Nurkic  19,Lillard  8
"Sun, Jan 8",@ Toronto ,L117-105  ,19-20,Lillard  34,Nurkic  18,Lillard  8
"Tue, Jan 10",vs Orlando ,L109-106  ,19-21,Lillard  30,Hart  13,Simons  7
"Thu, Jan 12",vs Cleveland ,L119-113  ,19-22,Lillard  50,Nurkic  12,Simons  5
"Sat, Jan 14",vs Dallas ,W136-119  ,20-22,Lillard  36,Nurkic  11,Lillard  10
"Sun, Jan 15",vs Dallas ,W140-123  ,21-22,Lillard  40,Hart  12,Lillard  6
"Tue, Jan 17",@ Denver ,L122-113  ,21-23,Lillard  44,Nurkic  10,Lillard  8
"Thu, Jan 19",vs Philadelphia ,L105-95  ,21-24,Lillard  25,Nurkic  11,Lillard  11
"Sun, Jan 22",vs Los Angeles ,L121-112  ,21-25,Simons  31,Eubanks  11,Lillard  10
"Mon, Jan 23",vs San Antonio ,W147-127  ,22-25,Lillard  37,Nurkic  11,Lillard  12
"Wed, Jan 25",vs Utah ,W134-124  ,23-25,Lillard  60,Eubanks  10,Simons  9
"Sat, Jan 28",vs Toronto ,L123-105  ,23-26,Lillard  30,Grant  8,Simons  4
"Mon, Jan 30",vs Atlanta ,W129-125  ,24-26,Lillard  42,Hart  12,Simons  7
"Wed, Feb 1",@ Memphis ,W122-112  ,25-26,Lillard  42,Eubanks  11,Lillard  10
"Fri, Feb 3",@ Washington ,W124-116  ,26-26,Simons  33,Hart  9,Simons  6
