DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists
"Wed, Oct 19",vs Charlotte ,L129-102  ,0-1,Johnson  20,Johnson  11,Primo  5
"Fri, Oct 21",@ Indiana ,W137-134  ,1-1,Richardson  27,Poeltl  8,Primo  7
"Sat, Oct 22",@ Philadelphia ,W114-105  ,2-1,Vassell  22,Poeltl  12,Dieng  5
"Mon, Oct 24",@ Minnesota ,W115-106  ,3-1,Vassell  23,Poeltl  14,Jones  8
"Wed, Oct 26",@ Minnesota ,L134-122  ,3-2,Johnson  27,Poeltl  10,Richardson  10
"Fri, Oct 28",vs Chicago ,W129-124  ,4-2,Johnson  33,Poeltl  13,Jones  8
"Sun, Oct 30",vs Minnesota ,W107-98  ,5-2,Johnson  25,Poeltl  14,Johnson  8
"Wed, Nov 2",vs Toronto ,L143-100  ,5-3,Bates-Diop  17,Collins  8,Jones  7
"Fri, Nov 4",vs LA ,L113-106  ,5-4,Vassell  29,Johnson  7,Jones  6
"Sat, Nov 5",@ Denver ,L126-101  ,5-5,Johnson  25,Poeltl  8,Jones  7
"Mon, Nov 7",vs Denver ,L115-109  ,5-6,Johnson  30,Bassey  8,Jones  9
"Wed, Nov 9",vs Memphis ,L124-122 OT ,5-7,Poeltl  22,Poeltl  9,Jones  11
"Fri, Nov 11",vs Milwaukee ,W111-93  ,6-7,Johnson  29,Bassey  14,Jones  9
"Mon, Nov 14",@ Golden State ,L132-95  ,6-8,Johnson  15,Poeltl  10,Richardson  3
"Tue, Nov 15",@ Portland ,L117-110  ,6-9,Poeltl  31,Poeltl  14,Jones  10
"Thu, Nov 17",@ Sacramento ,L130-112  ,6-10,Vassell  29,Poeltl  7,Sochan  5
"Sat, Nov 19",@ LA ,L119-97  ,6-11,Poeltl  20,Bassey  9,Jones  10
"Sun, Nov 20",@ Los Angeles ,L123-92  ,6-12,Vassell  17,Bassey  8,Bassey  5
"Wed, Nov 23",vs New Orleans ,L129-110  ,6-13,Vassell  26,Poeltl  14,Jones  9
"Fri, Nov 25",vs Los Angeles ,L105-94  ,6-14,Jones  19,Johnson  9,Jones  5
"Sat, Nov 26",vs Los Angeles ,L143-138  ,6-15,Johnson  26,Johnson  10,Jones  13
"Wed, Nov 30",@ Oklahoma City ,L119-111  ,6-16,Vassell  25,Langford  8,Johnson  6
"Fri, Dec 2",vs New Orleans ,L117-99  ,6-17,Vassell  25,Bassey  9,Jones  9
"Sun, Dec 4",vs Phoenix ,L133-95  ,6-18,Johnson  27,Bassey  7,Collins  5
"Thu, Dec 8",vs Houston ,W118-109  ,7-18,Johnson  32,Johnson  7,Jones  5
"Sat, Dec 10",@ Miami ,W115-111  ,8-18,Johnson  21,Collins  8,Richardson  6
"Mon, Dec 12",vs Cleveland ,W112-111  ,9-18,Richardson  24,Bassey  11,Jones  5
"Wed, Dec 14",vs Portland ,L128-112  ,9-19,Johnson  25,Dieng  8,Jones  6
"Sat, Dec 17",vs Miami ,L111-101  ,9-20,Johnson  22,Poeltl  7,Jones  9
"Mon, Dec 19",@ Houston ,W124-105  ,10-20,Vassell  26,Sochan  7,Jones  8
"Thu, Dec 22",@ New Orleans ,L126-117  ,10-21,Sochan  23,Sochan  9,Sochan  6
"Fri, Dec 23",@ Orlando ,L133-113  ,10-22,Johnson  17,Sochan  9,Jones  8
"Mon, Dec 26",vs Utah ,W126-122  ,11-22,Vassell  24,Poeltl  9,Vassell  8
"Tue, Dec 27",@ Oklahoma City ,L130-114  ,11-23,Vassell  20,Sochan  9,Jones  5
"Thu, Dec 29",vs New York ,W122-115  ,12-23,Johnson  30,Poeltl  12,Jones  6
"Sat, Dec 31",vs Dallas ,L126-125  ,12-24,Johnson  30,Poeltl  15,Poeltl  6
"Mon, Jan 2",@ Brooklyn ,L139-103  ,12-25,Johnson  22,Poeltl  11,Jones  7
"Wed, Jan 4",@ New York ,L117-114  ,12-26,Johnson  26,Poeltl  8,Jones  6
"Fri, Jan 6",vs Detroit ,W121-109  ,13-26,Jones  25,Poeltl  16,Poeltl  7
"Sat, Jan 7",vs Boston ,L121-116  ,13-27,Collins  18,Collins  12,Collins  5
"Mon, Jan 9",@ Memphis ,L121-113  ,13-28,Jones  18,Poeltl  7,Jones  7
"Wed, Jan 11",@ Memphis ,L135-129  ,13-29,Johnson  24,Poeltl  12,Jones  6
