DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists
"Wed, Oct 19",vs Portland ,L115-108  ,0-1,Fox  33,Barnes  8,Fox  7
"Sat, Oct 22",vs LA ,L111-109  ,0-2,Fox  36,Sabonis  10,Sabonis  7
"Sun, Oct 23",@ Golden State ,L130-125  ,0-3,Fox  26,Sabonis  14,Fox  10
"Thu, Oct 27",vs Memphis ,L125-110  ,0-4,Fox  27,Sabonis  11,Sabonis  9
"Sat, Oct 29",vs Miami ,W119-113  ,1-4,Huerter  27,Fox  13,Huerter  7
"Mon, Oct 31",@ Charlotte ,W115-108  ,2-4,Huerter  26,Sabonis  16,Sabonis  7
"Wed, Nov 2",@ Miami ,L110-107  ,2-5,Sabonis  22,Sabonis  12,Sabonis  8
"Sat, Nov 5",@ Orlando ,W126-123 OT ,3-5,Fox  37,Sabonis  11,Sabonis  6
"Mon, Nov 7",@ Golden State ,L116-113  ,3-6,Fox  28,Sabonis  14,Fox  6
"Wed, Nov 9",vs Cleveland ,W127-120  ,4-6,Sabonis  21,Barnes  9,Fox  8
"Fri, Nov 11",@ Los Angeles ,W120-114  ,5-6,Fox  32,Sabonis  10,Fox  12
"Sun, Nov 13",vs Golden State ,W122-115  ,6-6,Sabonis  26,Sabonis  22,Sabonis  8
"Tue, Nov 15",vs Brooklyn ,W153-121  ,7-6,Davis  31,Davis  9,Fox  9
"Thu, Nov 17",vs San Antonio ,W130-112  ,8-6,Fox  28,Barnes  8,Fox  8
"Sun, Nov 20",vs Detroit ,W137-129  ,9-6,Fox  33,Sabonis  13,Fox  7
"Tue, Nov 22",@ Memphis ,W113-109  ,10-6,Fox  32,Sabonis  13,Sabonis  8
"Wed, Nov 23",@ Atlanta ,L115-106  ,10-7,Monk  27,Sabonis  13,Sabonis  7
"Fri, Nov 25",@ Boston ,L122-104  ,10-8,Fox  20,Sabonis  10,Sabonis  6
"Mon, Nov 28",vs Phoenix ,L122-117  ,10-9,Monk  30,Sabonis  9,Sabonis  10
"Wed, Nov 30",vs Indiana ,W137-114  ,11-9,Barnes  22,Sabonis  10,Sabonis  7
"Sat, Dec 3",@ LA ,W123-96  ,12-9,Sabonis  24,Metu  8,Sabonis  6
"Sun, Dec 4",vs Chicago ,W110-101  ,13-9,Monk  20,Sabonis  17,Sabonis  10
"Wed, Dec 7",@ Milwaukee ,L126-113  ,13-10,Sabonis  23,Sabonis  12,Sabonis  7
"Fri, Dec 9",@ Cleveland ,W106-95  ,14-10,Barnes  20,Sabonis  18,Sabonis  6
"Sun, Dec 11",@ New York ,L112-99  ,14-11,Sabonis  20,Sabonis  12,Huerter  6
"Tue, Dec 13",@ Philadelphia ,L123-103  ,14-12,Sabonis  22,Sabonis  10,Sabonis  5
"Wed, Dec 14",@ Toronto ,W124-123  ,15-12,Fox  27,Sabonis  20,Fox  10
"Fri, Dec 16",@ Detroit ,W122-113  ,16-12,Fox  24,Sabonis  13,Fox  9
