DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists
"Wed, Oct 19",vs Cleveland ,W108-105  ,1-0,Siakam  23,Siakam  11,Barnes  7
"Fri, Oct 21",@ Brooklyn ,L109-105  ,1-1,Siakam  37,Siakam  12,Siakam  11
"Sat, Oct 22",@ Miami ,L112-109  ,1-2,Siakam  23,Achiuwa  11,VanVleet  10
"Mon, Oct 24",@ Miami ,W98-90  ,2-2,VanVleet  24,Achiuwa  22,VanVleet  9
"Wed, Oct 26",vs Philadelphia ,W119-109  ,3-2,Trent Jr.  27,Barnes  10,Siakam  13
"Fri, Oct 28",vs Philadelphia ,L112-90  ,3-3,Siakam  26,Siakam  10,Siakam  6
"Mon, Oct 31",vs Atlanta ,W139-109  ,4-3,Siakam  31,Siakam  12,Barnes  8
"Wed, Nov 2",@ San Antonio ,W143-100  ,5-3,Trent Jr.  24,Siakam  10,Siakam  11
"Fri, Nov 4",@ Dallas ,L111-110  ,5-4,Anunoby  27,Barnes  11,Barnes  10
"Sun, Nov 6",vs Chicago ,W113-104  ,6-4,VanVleet  30,Barnes  10,VanVleet  11
"Mon, Nov 7",@ Chicago ,L111-97  ,6-5,VanVleet  27,Barnes  6,Barnes  5
"Wed, Nov 9",vs Houston ,W116-109  ,7-5,VanVleet  32,Anunoby  10,Barnes  5
"Fri, Nov 11",@ Oklahoma City ,L132-113  ,7-6,Boucher  20,Boucher  12,Barnes  4
"Sat, Nov 12",@ Indiana ,L118-104  ,7-7,Anunoby  26,Barnes  9,Barnes  5
"Mon, Nov 14",@ Detroit ,W115-111  ,8-7,Banton  27,Anunoby  7,Banton  4
"Wed, Nov 16",vs Miami ,W112-104  ,9-7,Anunoby  32,Anunoby  10,VanVleet  8
"Sat, Nov 19",@ Atlanta ,L124-122 OT ,9-8,Barnes  28,Barnes  11,Barnes  9
"Wed, Nov 23",vs Brooklyn ,L112-98  ,9-9,Trent Jr.  19,Boucher  16,Young  5
"Sat, Nov 26",vs Dallas ,W105-100  ,10-9,Anunoby  26,Boucher  13,VanVleet  7
"Mon, Nov 28",vs Cleveland ,W100-88  ,11-9,Anunoby  20,Siakam  11,Siakam  5
"Wed, Nov 30",@ New Orleans ,L126-108  ,11-10,Trent Jr.  35,Siakam  6,VanVleet  6
"Fri, Dec 2",@ Brooklyn ,L114-105  ,11-11,Siakam  24,Barnes  9,VanVleet  6
"Sat, Dec 3",vs Orlando ,W121-108  ,12-11,Anunoby  32,Barnes  14,Siakam  10
"Mon, Dec 5",vs Boston ,L116-110  ,12-12,Siakam  29,Boucher  9,Siakam  7
"Wed, Dec 7",vs Los Angeles ,W126-113  ,13-12,Siakam  25,Barnes  17,Siakam  7
