DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists
"Wed, Oct 19",vs Denver ,W123-102  ,1-0,Sexton  20,Vanderbilt  12,Conley  8
"Fri, Oct 21",@ Minnesota ,W132-126 OT ,2-0,Clarkson  29,Vanderbilt  14,Conley  11
"Sun, Oct 23",@ New Orleans ,W122-121 OT ,3-0,Markkanen  31,Markkanen  12,Conley  8
"Mon, Oct 24",@ Houston ,L114-108  ,3-1,Clarkson  17,Vanderbilt  11,Conley  7
"Wed, Oct 26",vs Houston ,W109-101  ,4-1,Markkanen  24,Markkanen  9,Olynyk  6
"Fri, Oct 28",@ Denver ,L117-101  ,4-2,Markkanen  17,Markkanen  10,Conley  5
"Sat, Oct 29",vs Memphis ,W124-123  ,5-2,Markkanen  23,Markkanen  9,Vanderbilt  7
"Mon, Oct 31",vs Memphis ,W121-105  ,6-2,Markkanen  31,Markkanen  11,Clarkson  7
"Wed, Nov 2",@ Dallas ,L103-100  ,6-3,Clarkson  22,Beasley  8,Clarkson  8
"Fri, Nov 4",@ Los Angeles ,W130-116  ,7-3,Markkanen  27,Markkanen  13,Conley  10
"Sun, Nov 6",@ LA ,W110-102  ,8-3,Clarkson  23,Markkanen  9,Clarkson  5
"Mon, Nov 7",vs Los Angeles ,W139-116  ,9-3,Markkanen  23,Kessler  9,Conley  12
"Wed, Nov 9",@ Atlanta ,W125-119  ,10-3,Markkanen  32,Markkanen  8,Conley  13
"Sat, Nov 12",@ Washington ,L121-112  ,10-4,Clarkson  18,Vanderbilt  8,Horton-Tucker  10
"Sun, Nov 13",@ Philadelphia ,L105-98  ,10-5,Beasley  18,Markkanen  10,Conley  8
"Tue, Nov 15",vs New York ,L118-111  ,10-6,Olynyk  27,Olynyk  11,Conley  7
"Fri, Nov 18",vs Phoenix ,W134-133  ,11-6,Markkanen  38,Vanderbilt  11,Conley  10
"Sat, Nov 19",@ Portland ,W118-113  ,12-6,Beasley  29,Markkanen  10,Clarkson  4
"Mon, Nov 21",@ LA ,L121-114  ,12-7,Clarkson  26,Markkanen  10,Vanderbilt  5
"Wed, Nov 23",vs Detroit ,L125-116  ,12-8,Beasley  29,Beasley  11,Sexton  12
"Fri, Nov 25",@ Golden State ,L129-118  ,12-9,Markkanen  24,Vanderbilt  10,Clarkson  10
"Sat, Nov 26",@ Phoenix ,L113-112  ,12-10,Clarkson  22,Markkanen  10,Clarkson  5
"Mon, Nov 28",vs Chicago ,L114-107  ,12-11,Markkanen  32,Markkanen  9,Clarkson  9
"Wed, Nov 30",vs LA ,W125-112  ,13-11,Clarkson  33,Vanderbilt  12,Sexton  6
"Fri, Dec 2",vs Indiana ,W139-119  ,14-11,Markkanen  24,Markkanen  13,Horton-Tucker  9
"Sat, Dec 3",vs Portland ,L116-111  ,14-12,Clarkson  24,Olynyk  9,Olynyk  6
"Wed, Dec 7",vs Golden State ,W124-123  ,15-12,Clarkson  22,Kessler  12,Clarkson  9
"Fri, Dec 9",vs Minnesota ,L118-108  ,15-13,Beasley  23,Vanderbilt  10,Conley  6
"Sat, Dec 10",@ Denver ,L115-110  ,15-14,Alexander-Walker  27,Olynyk  9,Horton-Tucker  4
"Tue, Dec 13",vs New Orleans ,W121-100  ,16-14,Beasley  21,Kessler  16,Alexander-Walker  6
"Thu, Dec 15",vs New Orleans ,W132-129 OT ,17-14,Clarkson  39,Clarkson  8,Conley  6
"Sat, Dec 17",@ Milwaukee ,L123-97  ,17-15,Markkanen  18,Vanderbilt  6,Alexander-Walker  5
"Mon, Dec 19",@ Cleveland ,L122-99  ,17-16,Markkanen  24,Markkanen  6,Conley  9
"Tue, Dec 20",@ Detroit ,W126-111  ,18-16,Markkanen  38,Vanderbilt  13,Conley  7
"Thu, Dec 22",vs Washington ,W120-112  ,19-16,Beasley  25,Kessler  14,Conley  6
"Mon, Dec 26",@ San Antonio ,L126-122  ,19-17,Markkanen  32,Markkanen  12,Conley  6
"Wed, Dec 28",@ Golden State ,L112-107  ,19-18,Markkanen  29,Markkanen  16,Conley  10
"Fri, Dec 30",@ Sacramento ,L126-125  ,19-19,Markkanen  36,Kessler  8,Clarkson  9
"Sat, Dec 31",vs Miami ,L126-123  ,19-20,Markkanen  29,Markkanen  14,Conley  8
"Tue, Jan 3",vs Sacramento ,L117-115  ,19-21,Markkanen  28,Vanderbilt  9,Conley  7
"Thu, Jan 5",@ Houston ,W131-114  ,20-21,Markkanen  49,Vanderbilt  9,Conley  11
"Sat, Jan 7",@ Chicago ,L126-118  ,20-22,Markkanen  28,Vanderbilt  14,Clarkson  8
