DATE,OPPONENT,RESULT,W-L,Hi Points,Hi Rebounds,Hi Assists
"Wed, Oct 19",@ Indiana ,W114-107  ,1-0,Beal  23,Kuzma  13,Beal  6
"Fri, Oct 21",vs Chicago ,W102-100  ,2-0,Kuzma  26,Avdija  10,Beal  8
"Sun, Oct 23",@ Cleveland ,L117-107 OT ,2-1,Beal  27,Porzingis  11,Morris  6
"Tue, Oct 25",vs Detroit ,W120-99  ,3-1,Kuzma  25,Porzingis  7,Beal  6
"Fri, Oct 28",vs Indiana ,L127-117  ,3-2,Beal  31,Kuzma  9,Morris  12
"Sun, Oct 30",@ Boston ,L112-94  ,3-3,Porzingis  17,Porzingis  13,Beal  8
"Mon, Oct 31",vs Philadelphia ,L118-111  ,3-4,Porzingis  32,Porzingis  9,Beal  6
"Wed, Nov 2",@ Philadelphia ,W121-111  ,4-4,Porzingis  30,Hachimura  10,Morris  6
"Fri, Nov 4",vs Brooklyn ,L128-86  ,4-5,Beal  20,Porzingis  10,Morris  5
"Sun, Nov 6",@ Memphis ,L103-97  ,4-6,Morris  18,Kuzma  11,Barton  5
"Mon, Nov 7",@ Charlotte ,W108-100  ,5-6,Kuzma  20,Porzingis  8,Porzingis  5
"Thu, Nov 10",vs Dallas ,W113-105  ,6-6,Kuzma  36,Kuzma  11,Kuzma  6
"Sat, Nov 12",vs Utah ,W121-112  ,7-6,Porzingis  31,Porzingis  10,Morris  9
"Sun, Nov 13",vs Memphis ,W102-92  ,8-6,Porzingis  25,Kuzma  11,Morris  6
"Wed, Nov 16",vs Oklahoma City ,L121-120  ,8-7,Porzingis  27,Kuzma  10,Kuzma  9
"Fri, Nov 18",vs Miami ,W107-106 OT ,9-7,Beal  27,Porzingis  17,Beal  8
"Sun, Nov 20",vs Charlotte ,W106-102  ,10-7,Kuzma  28,Avdija  13,Kuzma  5
"Wed, Nov 23",@ Miami ,L113-105  ,10-8,Kuzma  33,Porzingis  9,Avdija  10
"Fri, Nov 25",@ Miami ,L110-107  ,10-9,Kuzma  28,Avdija  9,Kuzma  5
"Sun, Nov 27",@ Boston ,L130-121  ,10-10,Beal  30,Beal  5,Morris  8
"Mon, Nov 28",vs Minnesota ,W142-127  ,11-10,Porzingis  41,Kuzma  8,Kuzma  9
"Wed, Nov 30",@ Brooklyn ,L113-107  ,11-11,Porzingis  27,Porzingis  19,Beal  6
"Fri, Dec 2",@ Charlotte ,L117-116  ,11-12,Beal  33,Gafford  12,Beal  7
"Sun, Dec 4",vs Los Angeles ,L130-119  ,11-13,Porzingis  27,Porzingis  9,Barton  5
"Wed, Dec 7",@ Chicago ,L115-111  ,11-14,Porzingis  28,Porzingis  9,Morris  8
"Fri, Dec 9",@ Indiana ,L121-111  ,11-15,Porzingis  29,Porzingis  9,Kuzma  7
"Sat, Dec 10",vs LA ,L114-107  ,11-16,Kuzma  35,Porzingis  15,Goodwin  6
"Mon, Dec 12",vs Brooklyn ,L112-100  ,11-17,Barton  22,Gafford  10,Barton  7
"Wed, Dec 14",@ Denver ,L141-128  ,11-18,Kuzma  24,Gafford  7,Barton  9
"Sat, Dec 17",@ LA ,L102-93  ,11-19,Porzingis  19,Avdija  10,Morris  5
"Sun, Dec 18",@ Los Angeles ,L119-117  ,11-20,Beal  29,Kuzma  16,Porzingis  5
"Tue, Dec 20",@ Phoenix ,W113-110  ,12-20,Kuzma  29,Avdija  10,Kuzma  6
"Thu, Dec 22",@ Utah ,L120-112  ,12-21,Beal  30,Hachimura  7,Beal  5
"Fri, Dec 23",@ Sacramento ,W125-111  ,13-21,Kuzma  32,Porzingis  13,Wright  8
"Tue, Dec 27",vs Philadelphia ,W116-111  ,14-21,Porzingis  24,Porzingis  10,Morris  7
"Wed, Dec 28",vs Phoenix ,W127-102  ,15-21,Hachimura  30,Gafford  8,Morris  8
"Fri, Dec 30",@ Orlando ,W119-100  ,16-21,Porzingis  30,Porzingis  13,Morris  10
"Sun, Jan 1",@ Milwaukee ,W118-95  ,17-21,Hachimura  26,Kuzma  13,Kuzma  11
"Tue, Jan 3",@ Milwaukee ,L123-113  ,17-22,Porzingis  22,Gafford  12,Morris  6
"Fri, Jan 6",@ Oklahoma City ,L127-110  ,17-23,Kuzma  23,Porzingis  10,Kuzma  7
"Mon, Jan 9",vs New Orleans ,L132-112  ,17-24,Porzingis  23,Porzingis  10,Morris  9
"Wed, Jan 11",vs Chicago ,W100-97  ,18-24,Kuzma  21,Avdija  20,Kuzma  3
"Fri, Jan 13",vs New York ,L112-108  ,18-25,Kuzma  40,Avdija  9,Kuzma  7
"Mon, Jan 16",vs Golden State ,L127-118  ,18-26,Porzingis  32,Kuzma  11,Morris  10
"Wed, Jan 18",@ New York ,W116-105  ,19-26,Kuzma  27,Kuzma  13,Kuzma  7
"Sat, Jan 21",vs Orlando ,W138-118  ,20-26,Hachimura  30,Kuzma  10,Beal  8
"Tue, Jan 24",@ Dallas ,W127-126  ,21-26,Kuzma  30,Avdija  10,Wright  6
"Wed, Jan 25",@ Houston ,W108-103  ,22-26,Kuzma  33,Avdija  10,Beal  4
"Sat, Jan 28",@ New Orleans ,W113-103  ,23-26,Gafford  21,Gafford  12,Beal  5
"Mon, Jan 30",@ San Antonio ,W127-106  ,24-26,Avdija  25,Avdija  9,Beal  7
"Wed, Feb 1",@ Detroit ,Postponed
"Fri, Feb 3",vs Portland ,L124-116  ,24-27,Beal  34,Kuzma  11,Kuzma  6
"Sat, Feb 4",@ Brooklyn ,L125-123  ,24-28,Porzingis  38,Gafford  10,Morris  8
"Mon, Feb 6",vs Cleveland ,L114-91  ,24-29,Porzingis  18,Gafford  8,Morris  7
"Wed, Feb 8",vs Charlotte ,W118-104  ,25-29,Porzingis  36,Avdija  13,Beal  10
"Sat, Feb 11",vs Indiana ,W127-113  ,26-29,Beal  32,Porzingis  10,Beal  6
"Mon, Feb 13",@ Golden State ,L135-126  ,26-30,Porzingis  34,Gafford  8,Nunn  6
"Tue, Feb 14",@ Portland ,W126-101  ,27-30,Kuzma  33,Porzingis  12,Wright  6
"Thu, Feb 16",@ Minnesota ,W114-106  ,28-30,Beal  35,Avdija  9,Morris  6
"Fri, Feb 24",vs New York ,L115-109  ,28-31,Porzingis  23,Avdija  7,Beal  8
"Sun, Feb 26",@ Chicago ,L102-82  ,28-32,Beal  18,Gafford  11,Beal  8
"Tue, Feb 28",@ Atlanta ,W119-116  ,29-32,Beal  37,Avdija  13,Beal  7
"Thu, Mar 2",vs Toronto ,W119-108  ,30-32,Kuzma  30,Avdija  9,Wright  11
"Sat, Mar 4",vs Toronto ,L116-109 OT ,30-33,Porzingis  22,Porzingis  11,Beal  10
"Sun, Mar 5",vs Milwaukee ,L117-111  ,30-34,Beal  33,Porzingis  13,Porzingis  5
"Tue, Mar 7",@ Detroit ,W119-117  ,31-34,Beal  32,Beal  7,Beal  7
"Wed, Mar 8",vs Atlanta ,L122-120  ,31-35,Porzingis  43,Kuzma  10,Beal  8
"Fri, Mar 10",vs Atlanta ,L114-107  ,31-36,Beal  27,Porzingis  9,Morris  8
"Sun, Mar 12",@ Philadelphia ,L112-93  ,31-37,Kispert  25,Kuzma  11,Beal  4
"Tue, Mar 14",vs Detroit ,W117-97  ,32-37,Beal  36,Morris  8,Beal  7
"Fri, Mar 17",@ Cleveland ,L117-94  ,32-38,Beal  22,Porzingis  9,Beal  5
"Sat, Mar 18",vs Sacramento ,L132-118  ,32-39,Kuzma  33,Avdija  11,Avdija  6
"Tue, Mar 21",@ Orlando ,L122-112  ,32-40,Porzingis  30,Avdija  10,Morris  8
"Wed, Mar 22",vs Denver ,L118-104  ,32-41,Porzingis  25,Avdija  8,Avdija  6
"Fri, Mar 24",vs San Antonio ,W136-124  ,33-41,Kispert  26,Avdija  11,Avdija  6
"Sun, Mar 26",@ Toronto ,L114-104  ,33-42,Porzingis  26,Avdija  9,Wright  8
"Tue, Mar 28",vs Boston ,W130-111  ,34-42,Porzingis  32,Porzingis  13,Morris  9
"Fri, Mar 31",vs Orlando ,L116-109  ,34-43,Kispert  27,Gafford  13,Goodwin  5
"Sun, Apr 2",@ New York ,L118-109  ,34-44,Kispert  29,Goodwin  7,Wright  7
"Tue, Apr 4",vs Milwaukee ,L140-128  ,34-45,Nunn  24,Huff  9,Goodwin  9
"Wed, Apr 5",@ Atlanta ,L134-116  ,34-46,Gafford  25,Gafford  10,Goodwin  6
"Fri, Apr 7",vs Miami ,W114-108  ,35-46,Gafford  22,Cooks  9,Gafford  4
"Sun, Apr 9",vs Houston ,L114-109  ,35-47,Goodwin  22,Cooks  14,Davis  8
